window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta,confidence,mean_neighbor_distance,fingerprint_std,min_library_time,max_library_time,library_cutoff_exclusive
fold_3,train,2772,exp016_static_strict_oof_proxy,random,0.20137809671781162,0.11278831379163778,0.19648300374489833,-0.004895092972913295,nan,nan,0.07299016416072845,601,2211,2432
fold_3,train,2773,exp016_static_strict_oof_proxy,retrieval,0.12514855717081708,0.07024270045905767,0.12150955367867633,-0.0036390034921407466,-2.9984642639756203,2.9281558990478516,0.07030836492776871,2030,2401,2432
fold_3,train,2773,exp016_static_strict_oof_proxy,recent,0.12514855717081708,0.0571890126421042,0.12054332314640089,-0.004605234024416191,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2773,exp016_static_strict_oof_proxy,random,0.12514855717081708,0.06768155557342946,0.12202398333425768,-0.0031245738365593967,nan,nan,0.07285729050636292,578,2402,2432
fold_3,train,2774,exp016_static_strict_oof_proxy,retrieval,0.14986860841418204,0.08817624889360678,0.14567150649793176,-0.004197101916250279,-2.7473891004920006,2.6769518852233887,0.07043721526861191,2232,2404,2432
fold_3,train,2774,exp016_static_strict_oof_proxy,recent,0.14986860841418204,0.11347566192501807,0.14868679820496813,-0.0011818102092139016,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2774,exp016_static_strict_oof_proxy,random,0.14986860841418204,0.13335743104488115,0.15088873159585484,0.0010201231816727996,nan,nan,0.07905840128660202,531,2274,2432
fold_3,train,2775,exp016_static_strict_oof_proxy,retrieval,0.14764152242986306,0.060134201507390184,0.14166652473359098,-0.0059749976962720774,-2.9959091395139694,2.922513484954834,0.07339565455913544,2232,2412,2432
fold_3,train,2775,exp016_static_strict_oof_proxy,recent,0.14764152242986306,0.06473252911789147,0.14176890687614455,-0.005872615553718513,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2775,exp016_static_strict_oof_proxy,random,0.14764152242986306,0.07556622709706384,0.1442439381618725,-0.0033975842679905555,nan,nan,0.08930667489767075,614,2271,2432
fold_3,train,2776,exp016_static_strict_oof_proxy,retrieval,0.06301516152208027,0.02307694658577469,0.060125938914244094,-0.002889222607836174,-2.725440502166748,2.6502761840820312,0.0751643180847168,2240,2415,2432
fold_3,train,2776,exp016_static_strict_oof_proxy,recent,0.06301516152208027,0.013794482065879118,0.059083900190021625,-0.003931261332058643,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2776,exp016_static_strict_oof_proxy,random,0.06301516152208027,0.023004672541191647,0.05973206607534187,-0.003283095446738396,nan,nan,0.08217184990644455,492,2392,2432
fold_3,train,2777,exp016_static_strict_oof_proxy,retrieval,-0.025012165428006456,-0.06857871492322233,-0.029819645848864377,-0.004807480420857921,-3.475720204412937,3.399704933166504,0.07601527124643326,2030,2404,2432
fold_3,train,2777,exp016_static_strict_oof_proxy,recent,-0.025012165428006456,-0.06427157287943071,-0.030056414209975756,-0.0050442487819692995,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2777,exp016_static_strict_oof_proxy,random,-0.025012165428006456,-0.06460761422578772,-0.029730731452290125,-0.004718566024283669,nan,nan,0.0866122841835022,549,2264,2432
fold_3,train,2778,exp016_static_strict_oof_proxy,retrieval,-0.02200733346208356,-0.08114040905224036,-0.028190927455304084,-0.006183593993220524,-2.577574960887432,2.5039734840393066,0.07360147684812546,2030,2401,2432
fold_3,train,2778,exp016_static_strict_oof_proxy,recent,-0.02200733346208356,-0.06083988905626145,-0.026555272804825013,-0.004547939342741454,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2778,exp016_static_strict_oof_proxy,random,-0.02200733346208356,-0.043919649597597046,-0.025464327121045578,-0.003456993658962019,nan,nan,0.07265053689479828,716,2405,2432
fold_3,train,2779,exp016_static_strict_oof_proxy,retrieval,0.08047072743576167,-0.002423088802315993,0.07376243544644125,-0.006708291989320422,-2.9357040598988533,2.858299493789673,0.07740456610918045,1133,2401,2432
fold_3,train,2779,exp016_static_strict_oof_proxy,recent,0.08047072743576167,0.0202495245171239,0.07617915109142614,-0.004291576344335524,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2779,exp016_static_strict_oof_proxy,random,0.08047072743576167,0.030910162341388225,0.07689556070082762,-0.003575166734934049,nan,nan,0.09555390477180481,502,2348,2432
fold_3,train,2780,exp016_static_strict_oof_proxy,retrieval,0.042893585438378345,0.00767607438043437,0.03958805886612448,-0.0033055265722538654,-2.444593019783497,2.368976593017578,0.07561642676591873,1110,2415,2432
fold_3,train,2780,exp016_static_strict_oof_proxy,recent,0.042893585438378345,0.013138648969388392,0.0400321622872041,-0.0028614231511742486,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2780,exp016_static_strict_oof_proxy,random,0.042893585438378345,0.02249481507247825,0.040678671297946,-0.0022149141404323447,nan,nan,0.08679752796888351,600,2386,2432
fold_3,train,2781,exp016_static_strict_oof_proxy,retrieval,0.025772235314873576,0.018110260149535318,0.0252531353152972,-0.0005190999995763751,-6.0166920349001884,5.934128761291504,0.08256327360868454,1190,2421,2432
fold_3,train,2781,exp016_static_strict_oof_proxy,recent,0.025772235314873576,0.04331775254761426,0.02806013333612784,0.0022878980212542623,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2781,exp016_static_strict_oof_proxy,random,0.025772235314873576,0.01733240948653394,0.025400221205572917,-0.0003720141093006592,nan,nan,0.08170454949140549,536,2379,2432
fold_3,train,2782,exp016_static_strict_oof_proxy,retrieval,-0.005259848019278289,-0.04814485894669285,-0.010426919895812028,-0.005167071876533739,-3.081466518342495,3.005105972290039,0.0763605460524559,2237,2406,2432
