feature,rawIC_fold2,rawIC_fold3,rawIC_pooled,rawIC_valid,basecorr_fold2,basecorr_valid,partial_fold2,partial_fold3,partial_valid,pool_pass
F1_rank_num98,-0.0030963736262996696,-0.0015346114587208915,-0.0023154925425102803,-0.0033288639320844054,-0.0975745219506079,-0.01516543677838359,0.008873717105534147,-0.0012191882071796174,-0.0019365462947107533,False
F2_z20_num0,-0.007675719944956463,-0.0152854375057684,-0.011480578725362432,-0.011545450874851116,-0.10381693702559154,-0.02947882157136399,0.005060167773012176,-0.013037299760318255,-0.008839041306660913,True
F2_z20_num1,0.004585910808385804,-0.0016186884692448234,0.0014836111695704902,0.00010203250201666867,0.025999828798476343,6.0574753909165775e-05,0.0013963455047766608,-0.004752279781352213,9.647121819215562e-05,False
F2_z20_num2,-0.0039405919951850206,-0.02530546427768412,-0.01462302813643457,-0.012330049172482671,-0.07057182769379332,-0.08298694736944542,0.004716905512552302,-0.01684975949479081,-0.0047111330685316475,True
F2_z20_num3,0.014569315329164077,0.01537395322640734,0.014971634277785709,0.006064615020192163,0.026231399008395134,0.05734189848306552,0.011351341826692112,0.0070559009748215416,0.0008001351515832516,True
F2_z20_num4,0.00933186092333418,-0.006457947491454617,0.001436956715939782,-0.0016814599897873584,0.01172854017228414,-0.007659665081997029,0.007893045880148367,-0.008988949376461315,-0.0009782368023589076,False
F2_z20_num5,0.01618403270975097,-0.0007216294181661009,0.007731201645792435,0.0008618463840144659,0.027440995542279602,0.007428500474170309,0.012817670263422964,-0.0019693931787224967,0.00017984609740430662,False
F2_z20_num6,-0.00665726232472278,-0.044444899079886135,-0.025551080702304458,-0.02080347328139854,-0.15227202098775988,-0.23455104351211123,0.012022920480229547,-0.01846312370179672,0.0007303314825889314,True
F2_z20_num7,-0.027293321840225617,-0.045141578185263945,-0.03621745001274478,-0.01371484793031293,-0.13511566137168457,-0.14975836601000875,-0.010717819408048734,-0.025406095053539274,3.4259160173270506e-05,True
F2_z20_num8,-0.028739709541475464,-0.04814030916721536,-0.03844000935434541,-0.016836209672216582,-0.14541218780363063,-0.1720139490697781,-0.010901066351350425,-0.026366100930538882,-0.0010438484851310048,True
F2_z20_num9,-0.009583358089033175,-0.04551342708326213,-0.027548392586147653,-0.02200276705159297,-0.1663725117734937,-0.23818318988752346,0.010826622112764804,-0.01873561835059316,-0.0001354999855359973,True
