feature,rawIC_fold2,rawIC_fold3,rawIC_pooled,rawIC_valid,residIC_fold2,residIC_fold3,residIC_valid,pool_pass
F2_z20_num7,-0.027293321840225617,-0.045141578185263945,-0.03621745001274478,-0.01371484793031293,0.08111688802768476,0.11417074359462052,0.10130470130003506,True
F2_z20_num8,-0.028739709541475464,-0.04814030916721536,-0.03844000935434541,-0.016836209672216582,0.08768877274820398,0.1269440814466244,0.11539318368616827,True
F2_z20_num9,-0.009583358089033175,-0.04551342708326213,-0.027548392586147653,-0.02200276705159297,0.11658721440083554,0.16409230913548586,0.15970074449602023,True
F2_z20_num10,-0.009254845501312583,-0.040397571139501445,-0.024826208320407016,-0.019698527843988855,0.10644451799226509,0.14998005982949347,0.14603991001283279,True
F2_z20_num11,-0.019474253841891317,-0.02457686704044421,-0.02202556044116776,-0.004961382375867462,0.04207961120798042,0.0848979552117464,0.07853341507884576,True
F2_z20_num12,-0.01030955337251997,-0.00892517642305616,-0.009617364897788066,-0.009490294785984338,0.07314360443269417,0.025922689309109206,0.03387219227719753,False
F2_z20_num13,-0.0014805176732741417,-0.008938664053122464,-0.005209590863198303,-0.0023026605949354904,0.0057322770389003075,0.011022145399806291,0.004902029182586864,False
F2_z20_num14,0.008435386524550224,0.002113498205253068,0.005274442364901646,-0.005471874835521282,0.029784419358671474,0.020947089189282085,0.0234017383455534,False
F2_z20_num15,0.002920518829969986,0.008626862583362782,0.005773690706666384,0.0009051615687834071,-0.011642609614752041,-0.02046628879286906,-0.04088786518925878,False
F2_z20_num16,-0.006867060877516885,0.0011720010313555614,-0.002847529923080662,0.006961357254199378,-0.05426668314030046,-0.0041131652558830546,-0.0021254278445203946,False
F2_z20_num17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F2_z20_num26,0.011355896957034307,0.0050611421476595775,0.008208519552346942,0.0035361968590167077,0.022119364072068975,0.0019461014013516871,-0.001969818936283196,False
F2_z20_num27,0.00869792147281896,0.003954074862898655,0.006325998167858808,0.0013071577205294041,0.01745797457485949,-0.00024387193112062155,-0.0029885729980429782,False
F2_z20_num28,0.00035688696058302913,-0.0029315254259840934,-0.0012873192327005321,-0.0012553035343619374,0.0069718419055297635,0.001720240407695797,-0.002996510429752229,False
F2_z20_num29,0.005392123202214155,0.00580249486648854,0.005597309034351347,0.008525918749380657,0.0024673837694772142,-0.005673038864116153,-0.005338438252406004,False
F2_z20_num30,-0.005986955806963065,-0.007191395090606441,-0.006589175448784753,-0.00915297322453245,0.07191995452059308,-0.0018777331754844953,0.0017926086384620285,False
F2_z20_num31,-0.023711416441376466,-0.01301839710978955,-0.018364906775583008,-0.00977768595848351,0.06487389103786019,0.03641839124481437,0.026581163630237544,True
F2_z20_num32,-0.010877459608469923,-0.009820531545308183,-0.010348995576889054,-0.003287472450689885,0.018109699893441956,0.022438228798746768,0.011362726389094862,True
F2_z20_num33,-0.011220176289338536,-0.011714144638935827,-0.01146716046413718,-0.003613840766650062,0.013766883386327552,0.017799283742187054,0.009386595756946727,True
F2_z20_num34,0.0007649730342240821,0.014602446535863834,0.007683709785043958,0.005989496123033198,-0.037492245392174064,-0.0477375462004758,-0.04927137156252404,False
F2_z20_num35,0.007310276667555241,0.010881323269959687,0.009095799968757465,0.004188947708669281,-0.03134398422626182,-0.04232895333992957,-0.037279023084377146,False
F2_z20_num36,0.006757072384650057,0.007559007448927131,0.007158039916788594,0.003107157156827079,-0.027274946339978897,-0.034700428160016145,-0.031189308948524962,False
F2_z20_num37,-3.8533765625503236e-07,0.003908065777326631,0.001953840219835188,-0.0036109091140987784,-0.0005256581907806443,-0.022152337985929606,-0.02004650642920355,False
F2_z20_num38,-0.015233687577338366,-0.03752172614973306,-0.026377706863535712,-0.009670571731601631,0.04780905620442407,0.06880149060553563,0.0628662008828323,True
F2_z20_num39,-0.014870233781762934,-0.02598177678889237,-0.02042600528532765,-0.006496864101933615,0.06284830899549601,0.0849027471677836,0.06478731779246179,True
F2_z20_num40,-0.01405003743703486,-0.01271132736411598,-0.01338068240057542,-0.0028620369342445147,0.09140988817089649,0.11676292435890194,0.071624961063068,True
F2_z20_num41,-0.027398466603149065,-0.04396765490271765,-0.03568306075293336,-0.011063573877654352,0.05182236184355237,0.08039292499723627,0.06526535344564885,True
F2_z20_num42,-0.02125547695926328,-0.0075420653966116755,-0.014398771177937477,-0.005204775794781733,0.16661435487394846,0.113843497164357,0.09040503410709116,True
F2_z20_num43,-0.027477241631652168,-0.025440552339304194,-0.02645889698547818,-0.014803314984354282,0.10310153663552146,0.04299174652969846,0.04382941967258329,True
F2_z20_num44,-0.0005246291005878304,-0.009345198597200774,-0.004934913848894302,0.0008857767015822534,0.018034553811702197,0.0039556175641761735,0.013420251075045905,False
F2_z20_num45,-0.002947711193332601,-0.013243987248703452,-0.008095849221018027,-0.0112443555570271,0.05976841486432324,0.00843769285716669,0.010751929495403507,False
F2_z20_num46,-0.012745608338921507,-0.0011803430206058921,-0.0069629756797637,0.0015280942893865905,0.0030262976142040074,-0.01485787800412161,-0.003986554911886661,False
F2_z20_num47,-0.018067092587683003,-0.01935451495077375,-0.018710803769228377,-0.004467640141696346,0.017561056432135985,0.03046105440325462,0.029834994825185496,True
F2_z20_num48,-0.019365985977586507,-0.022068080410352988,-0.020717033193969746,-0.003014271172280396,0.022881581991481516,0.04798195723412778,0.04614049582905576,True
F2_z20_num49,-0.02286000822443029,-0.012474999835707124,-0.01766750403006871,-0.0037392225085648746,0.03538321445846813,0.0336710588755954,0.040987342925884525,True
F2_z20_num50,-0.02338365056811052,-0.013709168549773349,-0.018546409558941934,-0.005978386910703185,0.04023518590667197,0.043289459353101155,0.04851302707335657,True
F2_z20_num51,-0.022942158518953253,-0.010096326143007659,-0.016519242330980455,-0.004736978173235909,0.03897968194164038,0.04180415168499468,0.04537937856934714,True
F2_z20_num52,-0.02154023083237494,-0.005821883719249858,-0.013681057275812399,-0.0017506502058814613,0.0322452967341479,0.029573004064637132,0.029078767256137405,True
F2_z20_num53,-0.004701448903378764,0.013449556498476394,0.0043740537975488145,0.0018387376799761772,0.004989878493833569,-0.03895925178354288,-0.026780887583400706,False
