stage,seed,epoch,train_loss,selection_metric,best_metric,lr,improved,primary_precision,fp32_retries
early,2026,11,1.9630025895600467,0.14491113858331325,0.14491113858331325,0.00035034791273847186,True,bf16,0
early,2026,12,1.9599855683513523,0.1450546379263195,0.1450546379263195,0.00032077760293684266,True,bf16,0
early,2026,13,1.9569519235915744,0.14522179030253962,0.14522179030253962,0.000290354543007051,True,bf16,0
early,2026,14,1.9537068064679806,0.1454205143132775,0.1454205143132775,0.00025964545699294904,True,bf16,0
early,2026,15,1.9502139835013557,0.14564725042090496,0.14564725042090496,0.00022922239706315745,True,bf16,0
early,2026,16,1.946725225940193,0.14598100022484858,0.14598100022484858,0.00019965208726152811,True,bf16,0
early,2026,17,1.9432435484276604,0.14634252576987278,0.14634252576987278,0.0001714853665104908,True,bf16,0
early,2026,18,1.9399222332177704,0.14667628158475643,0.14667628158475643,0.00014524692752415492,True,bf16,0
early,2026,19,1.9369843854117639,0.14693833239116247,0.14693833239116247,0.00012142554277580288,True,bf16,0
early,2026,20,1.9345223375202454,0.1470894976556486,0.1470894976556486,0.00010046495959150553,True,bf16,0
early,2026,21,1.9326316597535438,0.1472204501466414,0.1472204501466414,8.275563397704009e-05,True,bf16,0
early,2026,22,1.9312523929114194,0.1473154430921776,0.1473154430921776,6.862745716127313e-05,True,bf16,0
early,2026,23,1.9301649989541043,0.1474069930708223,0.1474069930708223,5.83436103467452e-05,True,bf16,0
early,2026,24,1.9291872296136678,0.14746611391844455,0.14746611391844455,5.209566214182558e-05,True,bf16,0
early,2026,25,1.9282197890822421,0.1474777767842005,0.1474777767842005,5e-05,True,bf16,0
early,3407,1,1.9988768647626503,0.14239153798106352,0.14239153798106352,0.000125,True,bf16,0
early,3407,2,1.9910910836200124,0.142822768764711,0.142822768764711,0.0005,True,bf16,0
early,3407,3,1.9875707024151517,0.14327237685114494,0.14327237685114494,0.0004979043378581745,True,bf16,0
early,3407,4,1.9845270539067454,0.14357137680507878,0.14357137680507878,0.0004916563896532549,True,bf16,0
early,3407,5,1.9813401262784742,0.14395022449128178,0.14395022449128178,0.00048137254283872697,True,bf16,0
early,3407,6,1.9779197180394046,0.14410155197149654,0.14410155197149654,0.00046724436602295995,True,bf16,0
early,3407,7,1.9749529257263105,0.14425877271203896,0.14425877271203896,0.00044953504040849446,True,bf16,0
early,3407,8,1.972379017736494,0.14434972177352556,0.14434972177352556,0.0004285744572241972,True,bf16,0
early,3407,9,1.9692941805751054,0.144527701222604,0.144527701222604,0.0004047530724758451,True,bf16,0
early,3407,10,1.9666990772965027,0.14478182802532874,0.14478182802532874,0.00037851463348950926,True,bf16,0
early,3407,11,1.9640593774539907,0.14498712588363827,0.14498712588363827,0.00035034791273847186,True,bf16,0
early,3407,12,1.9612646938599263,0.14531147422723617,0.14531147422723617,0.00032077760293684266,True,bf16,0
