window,time,baseline,method,alpha,history_w,distance_from_snapshot,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_2,2158,exp016_static_strict_oof_proxy,momentum,0.05,20,213,0.2070580240449235,0.2018534616010475,-0.005204562443875987,0.9986730707115068
fold_2,2158,exp016_static_strict_oof_proxy,momentum,0.1,20,213,0.2070580240449235,0.19560012827500725,-0.011457895769916238,0.9942370276386511
fold_2,2158,exp016_static_strict_oof_proxy,momentum,0.15,20,213,0.2070580240449235,0.18728540406724584,-0.019772619977677652,0.9860239583845057
fold_2,2158,exp016_static_strict_oof_proxy,shuffled,0.05,20,213,0.2070580240449235,0.20560564012670707,-0.001452383918216421,0.9986377576468807
fold_2,2158,exp016_static_strict_oof_proxy,shuffled,0.1,20,213,0.2070580240449235,0.2034181500160818,-0.003639874028841694,0.9940234704519852
fold_2,2158,exp016_static_strict_oof_proxy,shuffled,0.15,20,213,0.2070580240449235,0.20037830379295793,-0.00667972025196556,0.9852989095571648
fold_2,2159,exp016_static_strict_oof_proxy,momentum,0.05,20,214,0.22848428076070904,0.2292525556798856,0.0007682749191765537,0.9986359863770524
fold_2,2159,exp016_static_strict_oof_proxy,momentum,0.1,20,214,0.22848428076070904,0.2282926219076036,-0.00019165885310543085,0.9940774975160322
fold_2,2159,exp016_static_strict_oof_proxy,momentum,0.15,20,214,0.22848428076070904,0.22692343024344808,-0.0015608505172609588,0.9854843478222995
fold_2,2159,exp016_static_strict_oof_proxy,shuffled,0.05,20,214,0.22848428076070904,0.22971439283346948,0.001230112072760442,0.9986312925635936
fold_2,2159,exp016_static_strict_oof_proxy,shuffled,0.1,20,214,0.22848428076070904,0.23040497570952492,0.0019206949488158875,0.9941799777583668
fold_2,2159,exp016_static_strict_oof_proxy,shuffled,0.15,20,214,0.22848428076070904,0.22967595731717125,0.0011916765564622123,0.9855599920716245
fold_2,2160,exp016_static_strict_oof_proxy,momentum,0.05,20,215,0.21028536615433024,0.20982308342340902,-0.00046228273092122074,0.9986349386152932
fold_2,2160,exp016_static_strict_oof_proxy,momentum,0.1,20,215,0.21028536615433024,0.2082957006933993,-0.001989665460930934,0.9940421059997341
fold_2,2160,exp016_static_strict_oof_proxy,momentum,0.15,20,215,0.21028536615433024,0.2056798864585175,-0.004605479695812736,0.985338001854418
fold_2,2160,exp016_static_strict_oof_proxy,shuffled,0.05,20,215,0.21028536615433024,0.208894535527939,-0.001390830626391254,0.9986548346107254
fold_2,2160,exp016_static_strict_oof_proxy,shuffled,0.1,20,215,0.21028536615433024,0.20579858000479367,-0.00448678614953657,0.994082261223984
fold_2,2160,exp016_static_strict_oof_proxy,shuffled,0.15,20,215,0.21028536615433024,0.20141992715477522,-0.008865438999555025,0.9855249362278157
fold_2,2161,exp016_static_strict_oof_proxy,momentum,0.05,20,216,0.1985673689826943,0.19993196523722934,0.0013645962545350276,0.9986667283815759
fold_2,2161,exp016_static_strict_oof_proxy,momentum,0.1,20,216,0.1985673689826943,0.20013604990585943,0.0015686809231651166,0.994008642800476
fold_2,2161,exp016_static_strict_oof_proxy,momentum,0.15,20,216,0.1985673689826943,0.20040869708098769,0.0018413280982933766,0.9853277876471342
fold_2,2161,exp016_static_strict_oof_proxy,shuffled,0.05,20,216,0.1985673689826943,0.19995707172450916,0.0013897027418148522,0.9986289317636151
fold_2,2161,exp016_static_strict_oof_proxy,shuffled,0.1,20,216,0.1985673689826943,0.20045853840698588,0.0018911694242915722,0.9941054206663501
fold_2,2161,exp016_static_strict_oof_proxy,shuffled,0.15,20,216,0.1985673689826943,0.20099990346976546,0.0024325344870711474,0.9855486683592012
fold_2,2162,exp016_static_strict_oof_proxy,momentum,0.05,20,217,0.2195547140683442,0.22097713799464797,0.001422423926303762,0.9986475423082657
fold_2,2162,exp016_static_strict_oof_proxy,momentum,0.1,20,217,0.2195547140683442,0.2207809133025933,0.0012261992342491035,0.9941367717566225
fold_2,2162,exp016_static_strict_oof_proxy,momentum,0.15,20,217,0.2195547140683442,0.21948359968446596,-7.111438387824576e-05,0.9856213338459531
fold_2,2162,exp016_static_strict_oof_proxy,shuffled,0.05,20,217,0.2195547140683442,0.21973727222809908,0.00018255815975487533,0.9986450943459365
fold_2,2162,exp016_static_strict_oof_proxy,shuffled,0.1,20,217,0.2195547140683442,0.21836427878488654,-0.0011904352834576637,0.9941978361808834
fold_2,2162,exp016_static_strict_oof_proxy,shuffled,0.15,20,217,0.2195547140683442,0.2172999990476636,-0.0022547150206806144,0.9860172749309809
fold_2,2163,exp016_static_strict_oof_proxy,momentum,0.05,20,218,0.11376098070707479,0.10976889341396981,-0.003992087293104976,0.9986761106045108
fold_2,2163,exp016_static_strict_oof_proxy,momentum,0.1,20,218,0.11376098070707479,0.10492719203577903,-0.00883378867129575,0.9942475634412438
fold_2,2163,exp016_static_strict_oof_proxy,momentum,0.15,20,218,0.11376098070707479,0.09843639506597252,-0.01532458564110227,0.9859809201840042
fold_2,2163,exp016_static_strict_oof_proxy,shuffled,0.05,20,218,0.11376098070707479,0.11454529245416714,0.0007843117470923561,0.9986262578757208
fold_2,2163,exp016_static_strict_oof_proxy,shuffled,0.1,20,218,0.11376098070707479,0.11501072065790699,0.0012497399508322043,0.9939841120413799
fold_2,2163,exp016_static_strict_oof_proxy,shuffled,0.15,20,218,0.11376098070707479,0.11387324297837903,0.00011226227130424482,0.9852849293939538
fold_2,2164,exp016_static_strict_oof_proxy,momentum,0.05,20,219,0.10175104484264764,0.09548269858850185,-0.006268346254145796,0.9985979155161249
fold_2,2164,exp016_static_strict_oof_proxy,momentum,0.1,20,219,0.10175104484264764,0.08755276013979849,-0.01419828470284916,0.9940314748569326
fold_2,2164,exp016_static_strict_oof_proxy,momentum,0.15,20,219,0.10175104484264764,0.07886942026990557,-0.02288162457274208,0.985360954081324
fold_2,2164,exp016_static_strict_oof_proxy,shuffled,0.05,20,219,0.10175104484264764,0.10022921308980524,-0.0015218317528424008,0.9986496571485525
fold_2,2164,exp016_static_strict_oof_proxy,shuffled,0.1,20,219,0.10175104484264764,0.09772427459421577,-0.004026770248431871,0.9942250523722573
fold_2,2164,exp016_static_strict_oof_proxy,shuffled,0.15,20,219,0.10175104484264764,0.09408193856886425,-0.007669106273783394,0.9857934976743221
fold_2,2165,exp016_static_strict_oof_proxy,momentum,0.05,20,220,0.009944624275251612,0.007327561500879151,-0.002617062774372461,0.9986529318972566
fold_2,2165,exp016_static_strict_oof_proxy,momentum,0.1,20,220,0.009944624275251612,0.005124422613413885,-0.0048202016618377275,0.9940700015268243
fold_2,2165,exp016_static_strict_oof_proxy,momentum,0.15,20,220,0.009944624275251612,0.00199125000412812,-0.007953374271123493,0.9854411673523487
fold_2,2165,exp016_static_strict_oof_proxy,shuffled,0.05,20,220,0.009944624275251612,0.0073429329996408535,-0.0026016912756107588,0.9986243161931642
fold_2,2165,exp016_static_strict_oof_proxy,shuffled,0.1,20,220,0.009944624275251612,0.0038862554872544906,-0.006058368787997122,0.9940632789917301
fold_2,2165,exp016_static_strict_oof_proxy,shuffled,0.15,20,220,0.009944624275251612,-0.00037838294951437026,-0.010323007224765982,0.9854835215929375
fold_2,2166,exp016_static_strict_oof_proxy,momentum,0.05,20,221,0.009850313710111247,0.009410391197985172,-0.00043992251212607476,0.9986466064580526
fold_2,2166,exp016_static_strict_oof_proxy,momentum,0.1,20,221,0.009850313710111247,0.008895311828515785,-0.000955001881595462,0.9940261555885447
fold_2,2166,exp016_static_strict_oof_proxy,momentum,0.15,20,221,0.009850313710111247,0.007566071474594422,-0.0022842422355168254,0.9856140247795704
fold_2,2166,exp016_static_strict_oof_proxy,shuffled,0.05,20,221,0.009850313710111247,0.005548349493820558,-0.004301964216290689,0.998601444582844
fold_2,2166,exp016_static_strict_oof_proxy,shuffled,0.1,20,221,0.009850313710111247,0.0013035443282601793,-0.008546769381851067,0.9941128857502299
fold_2,2166,exp016_static_strict_oof_proxy,shuffled,0.15,20,221,0.009850313710111247,-0.0029756048567616553,-0.012825918566872901,0.9855681083494486
fold_2,2167,exp016_static_strict_oof_proxy,momentum,0.05,20,222,-0.05069975137237929,-0.04952867718868093,0.0011710741836983563,0.9986449913421943
