experiment,artifact,baseline,causal_status,train_range,valid_range,local_rank_ic,online_rank_ic,prediction_path,prediction_sha256,metrics_path,metadata_path,status,decision,changed_variable
exp_018_cat5_ablation,prediction_1.npy,missing,not_assessed,missing,missing,missing,0.10701,04_results/exp_018_cat5_ablation/prediction_1.npy,a63d901fde201744259506dc07fb242f490c30f7d35431afa267b4371d81521b,04_results/exp_018_cat5_ablation/metrics.json,04_results/exp_018_cat5_ablation/metadata.json,recorded,not_promoted_evidence_only,T1.2 cat_5 ablation
exp_018_cat5_ablation,prediction_2.npy,missing,not_assessed,missing,missing,missing,0.10701,04_results/exp_018_cat5_ablation/prediction_2.npy,2db735a1e38f1bade3064489c926a88542e2ba3635de81c7c26aa7498ad4f799,04_results/exp_018_cat5_ablation/metrics.json,04_results/exp_018_cat5_ablation/metadata.json,recorded,not_promoted_evidence_only,T1.2 cat_5 ablation
exp_018_cat5_ablation,prediction_3.npy,missing,not_assessed,missing,missing,missing,0.10701,04_results/exp_018_cat5_ablation/prediction_3.npy,a63d901fde201744259506dc07fb242f490c30f7d35431afa267b4371d81521b,04_results/exp_018_cat5_ablation/metrics.json,04_results/exp_018_cat5_ablation/metadata.json,recorded,not_promoted_evidence_only,T1.2 cat_5 ablation
exp_018_cat5_ablation,prediction_4.npy,missing,not_assessed,missing,missing,missing,0.10701,04_results/exp_018_cat5_ablation/prediction_4.npy,0381358823c0f0de299348d9919ebad65c8904f0649c624ce4e72a2a8e624690,04_results/exp_018_cat5_ablation/metrics.json,04_results/exp_018_cat5_ablation/metadata.json,recorded,not_promoted_evidence_only,T1.2 cat_5 ablation
exp_019_conservative_router,prediction_1.npy,missing,not_assessed,missing,missing,missing,0.114914,04_results/exp_019_conservative_router/prediction_1.npy,064780eecc9006ec33eb816d7a988ef45d6c2fbabca0a546aa1795e9444a2e5f,04_results/exp_019_conservative_router/metrics.json,04_results/exp_019_conservative_router/metadata.json,recorded,not_promoted,T1.4 conservative router
exp_019_conservative_router,prediction_2.npy,missing,not_assessed,missing,missing,missing,0.114914,04_results/exp_019_conservative_router/prediction_2.npy,f1907e2d1800b15f7eebc1354ffddb0e09fe421c795cea6e59a1444aaf18a211,04_results/exp_019_conservative_router/metrics.json,04_results/exp_019_conservative_router/metadata.json,recorded,not_promoted,T1.4 conservative router
exp_019_conservative_router,prediction_3.npy,missing,not_assessed,missing,missing,missing,0.114914,04_results/exp_019_conservative_router/prediction_3.npy,45df15894d870ed53900fc253865df39c91e5c6ed5b715641a3ddc4b8bfbbbae,04_results/exp_019_conservative_router/metrics.json,04_results/exp_019_conservative_router/metadata.json,recorded,not_promoted,T1.4 conservative router
exp_019_conservative_router,prediction_4.npy,missing,not_assessed,missing,missing,missing,0.114914,04_results/exp_019_conservative_router/prediction_4.npy,ef275d93244095fed9d3bf0ad379f62cee258fe1cdf314c948f80ee71549916c,04_results/exp_019_conservative_router/metrics.json,04_results/exp_019_conservative_router/metadata.json,recorded,not_promoted,T1.4 conservative router
exp_019_conservative_router,prediction_5.npy,missing,not_assessed,missing,missing,missing,0.114914,04_results/exp_019_conservative_router/prediction_5.npy,6190004b29635a4f75ad96754ab8ad7afff104e49c41bed2b66a429dfcc9496b,04_results/exp_019_conservative_router/metrics.json,04_results/exp_019_conservative_router/metadata.json,recorded,not_promoted,T1.4 conservative router
exp_020_tabular_categorical,prediction_1.npy,exp021,not_assessed,missing,missing,missing,0.116252,04_results/exp_020_tabular_categorical/prediction_1.npy,812f7165deb4afd63659491d127dfe97a659ac4795db634f8b4b221df36b2f7e,04_results/exp_020_tabular_categorical/metrics.json,04_results/exp_020_tabular_categorical/metadata.json,recorded,promoted_online_best_pending_formal,exp_020_tabular_categorical
exp_021_retrain_head_router,prediction_1.npy,exp021,not_assessed,missing,missing,0.09097241756005069,0.116568,04_results/exp_021_retrain_head_router/prediction_1.npy,acd8ae2411f3b96ff01538face5a861b22f87443298194f5376b8e12d8e278b2,04_results/exp_021_retrain_head_router/metrics.json,04_results/exp_021_retrain_head_router/metadata.json,recorded,promoted_online_best_not_formal,exp_021_retrain_head_router
exp_022_tree_full_baseline,prediction_1.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_022_tree_full_baseline/prediction_1.npy,e27e868385217f9eb205897efb30b6fa9ffbbf4df922c55fd2be0267030d95e4,04_results/exp_022_tree_full_baseline/metrics.json,04_results/exp_022_tree_full_baseline/metadata.json,recorded,missing,exp_022_tree_full_baseline
exp_022_tree_full_baseline,prediction_2.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_022_tree_full_baseline/prediction_2.npy,5c8556831f488d0c14af5604b6d6969f3acec03b90c773a027d9ffb9239974de,04_results/exp_022_tree_full_baseline/metrics.json,04_results/exp_022_tree_full_baseline/metadata.json,recorded,missing,exp_022_tree_full_baseline
exp_022_tree_full_baseline,prediction_3.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_022_tree_full_baseline/prediction_3.npy,54122cb76d3af4f14e9505c8f0021ab3ebcf74acebaab5eac7f980c42691222c,04_results/exp_022_tree_full_baseline/metrics.json,04_results/exp_022_tree_full_baseline/metadata.json,recorded,missing,exp_022_tree_full_baseline
exp_022_tree_full_baseline,prediction_4.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_022_tree_full_baseline/prediction_4.npy,ba09ca5f488d0fcb6a0e64dfbeca8ec25bcf776581c2ee9a308aaecfc2973d2b,04_results/exp_022_tree_full_baseline/metrics.json,04_results/exp_022_tree_full_baseline/metadata.json,recorded,missing,exp_022_tree_full_baseline
exp_022_tree_full_baseline,prediction_5.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_022_tree_full_baseline/prediction_5.npy,ef2f514eef6967963ea086508b4fa3d3358aecc51ea183f249934e6fe96c36ac,04_results/exp_022_tree_full_baseline/metrics.json,04_results/exp_022_tree_full_baseline/metadata.json,recorded,missing,exp_022_tree_full_baseline
exp_023a_future_shift,prediction_1.npy,missing,invalid_future_information_probe,missing,missing,missing,0.613402,04_results/exp_023a_future_shift/prediction_1.npy,49c5b514be9c030e61f02d89150c0f220781655d55f259c3a0005265a1bf5661,04_results/exp_023a_future_shift/metrics.json,04_results/exp_023a_future_shift/metadata.json,recorded,disqualified_rule_violation_not_promoted,exp_023a_future_shift
exp_023b_recursion,missing,missing,compliant_claim_recorded,missing,missing,missing,missing,missing,missing,04_results/exp_023b_recursion/metrics.json,missing,recorded,missing,missing
