trial,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,max_bin,time_points,mean_rank_ic,std_rank_ic,icir,min_rank_ic,max_rank_ic,best_iteration
24,0.023107173754445095,111,402,0.8802341334492112,0.6528673108628101,0.04642024404439895,0.10640236814975679,127,244,0.11691359483944118,0.09243662842042766,1.264797265297101,-0.21426910042046943,0.3598967107761107,505
22,0.0166411240828398,111,740,0.817910018922658,0.7433096888848266,1.485864470581041,0.5035108245599509,127,244,0.11681707661111411,0.0909111592471889,1.284958607704986,-0.19750186328416142,0.37510771891831085,1011
10,0.0471658190525787,95,202,0.9729161367647149,0.8262452362725613,0.3727364254732501,0.011329872154854877,255,244,0.11679534194944488,0.09193454431256637,1.270418457205322,-0.20589158733060525,0.3668077840746627,286
2,0.02523167769582531,63,408,0.6557975442608167,0.7168578594140873,0.029204338471814112,0.3853103152262982,127,244,0.1167230372918234,0.09404570806409554,1.2411309319110282,-0.19958168684638572,0.3700904220162845,499
18,0.028512243058101072,111,511,0.8505915654206465,0.8571389722362222,0.1064400396078853,0.026340148370763806,127,244,0.11663916107250508,0.09311060390239685,1.2526947112787714,-0.2069568936826464,0.3509820093468896,348
7,0.023047827290732677,47,348,0.6563696899899051,0.9208787923016158,0.0019870215385428634,27.010059647423024,127,244,0.11618342921532963,0.08816584126409545,1.3177828005668226,-0.18094310303609853,0.3845806555947744,1325
8,0.015100059435535782,111,509,0.8916028672163949,0.9085081386743783,0.0019777828512462727,0.17637166053890752,255,244,0.11593514305214098,0.09654519255422797,1.2008380737033795,-0.21327841918503002,0.3566526978948405,603
16,0.025950446591076794,95,678,0.7970534167982971,0.9816918816844524,0.005498178420836139,0.02139102540299055,127,244,0.11570020845000745,0.09341292757263331,1.23858882765498,-0.1964431663174474,0.35926642854129465,376
17,0.038018093549019874,127,692,0.9164174182331594,0.7429230935956743,0.001284920048900095,0.07899808059456999,127,244,0.11561386811913665,0.09410712808841644,1.2285346547874034,-0.18852125550196172,0.36430135047086015,231
12,0.04250628353206377,127,186,0.7456404953262472,0.7845517758682948,0.015874940158648602,0.8211569263515046,255,244,0.11560272011206046,0.09043063986286759,1.2783578694938438,-0.18138675216680028,0.3519223701912034,281
15,0.02074551562661094,111,665,0.8756623291939448,0.7977779145544659,0.0072814253739531135,0.04697278696166944,127,244,0.11549086677360675,0.09106797135040659,1.268183150025677,-0.19128421294408274,0.3594293897334215,602
4,0.02164548515898282,31,483,0.7760609974958406,0.6488152939379115,0.09565499215943825,0.013169614353741137,127,244,0.11444498624896175,0.09699530032481801,1.1799023856383577,-0.20704401100626724,0.3789945999915625,643
19,0.02506218138817051,79,307,0.9613715435738107,0.7681096399426639,0.006968165554328888,0.010559335074397831,127,244,0.11413740282466858,0.09613895846570948,1.18721280785852,-0.22083163411192833,0.3640854673210427,383
1,0.03518255377188427,31,933,0.9329770563201687,0.6849356442713105,0.005337032762603957,0.04342298948286135,255,244,0.11336760562661477,0.0977806445969571,1.1594074276550916,-0.20581363408380327,0.37856916182681544,373
