window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta_vs_baseline,mean_neighbor_distance,min_library_time,max_library_time,library_cutoff_exclusive
fold_3,train,2642,exp016_static_strict_oof_proxy,global,0.2877631929019264,0.2039174470155695,0.28710516085652876,-0.0006580320453976607,2.101592540740967,486,2431,2432
fold_3,train,2642,exp016_static_strict_oof_proxy,recent,0.2877631929019264,0.18831433943303502,0.2861429503195136,-0.0016202425824128341,2.101592540740967,486,2431,2432
fold_3,train,2642,exp016_static_strict_oof_proxy,residual,0.2877631929019264,-0.32884101776820135,0.262220308488325,-0.02554288441360142,2.101592540740967,486,2431,2432
fold_3,train,2643,exp016_static_strict_oof_proxy,retrieval,0.36766592722143404,0.3691966748170156,0.3767878222214519,0.009121895000017866,2.5208840370178223,1184,2431,2432
fold_3,train,2643,exp016_static_strict_oof_proxy,global,0.36766592722143404,0.2956921005201856,0.3700208793864885,0.002354952165054436,2.5208840370178223,486,2431,2432
fold_3,train,2643,exp016_static_strict_oof_proxy,recent,0.36766592722143404,0.2680173087749798,0.3683176645769544,0.0006517373555203765,2.5208840370178223,486,2431,2432
fold_3,train,2643,exp016_static_strict_oof_proxy,residual,0.36766592722143404,0.21943518861682274,0.38700528932384953,0.01933936210241549,2.5208840370178223,486,2431,2432
fold_3,train,2644,exp016_static_strict_oof_proxy,retrieval,0.3934440249019134,0.32715756046896616,0.39997982574305746,0.006535800841144079,2.036588191986084,990,2426,2432
fold_3,train,2644,exp016_static_strict_oof_proxy,global,0.3934440249019134,0.3243651568446825,0.39876360169685937,0.0053195767949459905,2.036588191986084,486,2431,2432
fold_3,train,2644,exp016_static_strict_oof_proxy,recent,0.3934440249019134,0.2974490931372067,0.39768828170097553,0.004244256799062152,2.036588191986084,486,2431,2432
fold_3,train,2644,exp016_static_strict_oof_proxy,residual,0.3934440249019134,0.05558968584326299,0.3959499086015415,0.0025058836996281197,2.036588191986084,486,2431,2432
fold_3,train,2645,exp016_static_strict_oof_proxy,retrieval,0.3455594741808451,0.3607771043413819,0.356580618961333,0.01102114478048788,1.9709614515304565,1183,2431,2432
fold_3,train,2645,exp016_static_strict_oof_proxy,global,0.3455594741808451,0.27149211381308236,0.34787944305345725,0.002319968872612155,1.9709614515304565,486,2431,2432
fold_3,train,2645,exp016_static_strict_oof_proxy,recent,0.3455594741808451,0.26266556034822736,0.34759688515668347,0.002037410975838372,1.9709614515304565,486,2431,2432
fold_3,train,2645,exp016_static_strict_oof_proxy,residual,0.3455594741808451,0.22244324727986237,0.3670625515411449,0.021503077360299827,1.9709614515304565,486,2431,2432
fold_3,train,2646,exp016_static_strict_oof_proxy,retrieval,0.3468776954227265,0.36161859057965745,0.35780524939162156,0.010927553968895054,2.1806955337524414,1198,2430,2432
fold_3,train,2646,exp016_static_strict_oof_proxy,global,0.3468776954227265,0.27572306802549,0.3490435942533458,0.002165898830619295,2.1806955337524414,486,2431,2432
fold_3,train,2646,exp016_static_strict_oof_proxy,recent,0.3468776954227265,0.2663754934274428,0.3494244271991858,0.00254673177645931,2.1806955337524414,486,2431,2432
fold_3,train,2646,exp016_static_strict_oof_proxy,residual,0.3468776954227265,0.17155010650644253,0.3653177098252312,0.0184400144025047,2.1806955337524414,486,2431,2432
fold_3,train,2647,exp016_static_strict_oof_proxy,retrieval,0.11141202207914346,0.12791513928160816,0.11699016623616568,0.005578144157022222,2.2548208236694336,977,2425,2432
fold_3,train,2647,exp016_static_strict_oof_proxy,global,0.11141202207914346,0.12759126459810655,0.11658837416392849,0.005176352084785035,2.2548208236694336,486,2431,2432
