linear_weight,tcn_weight,lgbm_weight,first_half_rank_ic,second_half_rank_ic,full_rank_ic,plateau_max_delta,beats_first_half_single,beats_second_half_single,second_half_above_0_093940,stable_plateau,passes_all_gates
0.2,0.45,0.35,0.10633828109070878,0.08953894146180714,0.09797317781870427,0.004145634171735496,True,True,False,False,False
0.2,0.8,0.0,0.10832943671924558,0.08750124013269545,0.09795819479754778,0.0016542193257656629,True,True,False,False,False
0.3,0.3,0.4,0.10512060402324269,0.09072922568176696,0.09795452674209634,0.0042532359129267006,False,True,False,False,False
0.45,0.15,0.4,0.10376874255574807,0.09186228420973207,0.0978400122682257,0.0038936308263739644,False,True,False,False,False
0.15,0.55,0.3,0.10686696982753839,0.08866894663058456,0.09780540272123628,0.003772414961911788,True,True,False,False,False
0.15,0.8,0.05,0.10820751594312446,0.08727223830666307,0.09778295382784946,0.001943792398249003,True,True,False,False,False
0.7,0.1,0.2,0.10358331807964175,0.09176596885898015,0.0976989590026868,0.002714460172539984,False,True,False,False,False
0.7,0.3,0.0,0.10480728687040024,0.090230721319036,0.09754899702795139,0.0023561990933817917,False,True,False,False,False
0.25,0.35,0.4,0.10505397432316559,0.08992987422072356,0.09752304381948046,0.004474882381271056,False,True,False,False,False
0.1,0.75,0.15,0.10766646351684282,0.08712993271351595,0.09744045435140024,0.0026140809437909113,True,True,False,False,False
0.1,0.7,0.2,0.10739125161234982,0.08737809433744828,0.09742585231085564,0.003039813602990382,True,True,False,False,False
0.5,0.1,0.4,0.10280827716440999,0.09177350121384449,0.09731359448943705,0.0039550498284952745,False,True,False,False,False
0.65,0.05,0.3,0.10261362142863874,0.09191142455330328,0.09728454397219596,0.0019243213087053457,False,True,False,False,False
0.1,0.8,0.1,0.10767697119146345,0.08673328918023371,0.09724822418175645,0.002245468914689741,True,True,False,False,False
0.1,0.65,0.25,0.10686456629858493,0.08747075997754336,0.097207568089342,0.0034799396277265526,True,True,False,False,False
0.15,0.85,0.0,0.10774001998506863,0.08655071175501398,0.09718896526969162,0.001868684152123365,True,True,False,False,False
0.6,0.05,0.35,0.10234695434802622,0.09192112005628643,0.09715548953608995,0.002061022618891073,False,True,False,False,False
0.15,0.5,0.35,0.10574353171934607,0.08838047028805009,0.0970977274675485,0.004289976959965067,True,True,False,False,False
0.7,0.05,0.25,0.10243933824356707,0.09157263467614554,0.09702834593221726,0.002188166222763757,False,True,False,False,False
0.75,0.15,0.1,0.10327174798814151,0.09071978731307433,0.09702159473018623,0.002823903668583233,False,True,False,False,False
0.75,0.2,0.05,0.10350244565875608,0.09030021053169555,0.09692849318807986,0.002529262555156009,False,True,False,False,False
0.2,0.4,0.4,0.10477294657833718,0.08896347440224059,0.09690074026842901,0.004673791211613307,False,True,False,False,False
0.1,0.85,0.05,0.10746360280890445,0.08619826134829914,0.09687468792522856,0.0021657656116690627,True,True,False,False,False
0.75,0.1,0.15,0.1027490166389444,0.0909265795774504,0.09686212411038156,0.0028462676292950184,False,True,False,False,False
0.1,0.6,0.3,0.10607949377425108,0.0874026782413336,0.09677951566938271,0.00395005243835457,True,True,False,False,False
0.55,0.05,0.4,0.10163762132453237,0.09146077228054787,0.09657013682114915,0.00263872845975216,False,True,False,False,False
0.75,0.25,0.0,0.10342772836111891,0.0896542495733852,0.09656932945858486,0.0025527239231345616,False,True,False,False,False
0.35,0.2,0.45,0.10270398142236489,0.09023823953335085,0.09649676015252662,0.004456356105603992,False,True,False,False,False
0.75,0.05,0.2,0.10188303285606232,0.09090962677699534,0.09641890884138285,0.0023929860784039914,False,True,False,False,False
0.4,0.15,0.45,0.10219104447095546,0.09056140937865936,0.09640015621512077,0.004409426908437833,False,True,False,False,False
0.3,0.25,0.45,0.10296494703878892,0.0897031528779324,0.09636133760066695,0.004714360668657783,False,True,False,False,False
0.05,0.8,0.15,0.10671589408002574,0.08587440886061182,0.09633803518476201,0.002090008984356309,True,True,False,False,False
0.05,0.75,0.2,0.10643497190740714,0.08609327128860969,0.0963059769490759,0.0021306257159960235,True,True,False,False,False
0.1,0.9,0.0,0.10700376545863521,0.08551575746850873,0.09630397547178211,0.0020707628555728386,True,True,False,False,False
0.05,0.85,0.1,0.1067366990883902,0.08552468945785233,0.09617434038347215,0.0020245719117911176,True,True,False,False,False
0.1,0.55,0.35,0.10498336867519101,0.08711621763012932,0.09608655683793808,0.004423878636757431,False,True,False,False,False
0.05,0.7,0.25,0.1059173247208271,0.08615701872922892,0.09607783079085433,0.0023502133782639933,True,True,False,False,False
0.15,0.45,0.4,0.10424975768672144,0.08782940133487362,0.09607336625226223,0.0047909350556138985,False,True,False,False,False
0.45,0.1,0.45,0.10142633236844666,0.0906579860006876,0.09606431627585882,0.004501257052391017,False,True,False,False,False
0.7,0.0,0.3,0.10095984717964167,0.09109607027476037,0.09604825456445387,0.0023068184230496253,False,True,False,False,False
0.65,0.0,0.35,0.10083353651570912,0.09120776780766902,0.09604045827014182,0.0021748965920584395,False,True,False,False,False
0.25,0.3,0.45,0.10300771049431745,0.08896544865391028,0.09601547311699538,0.004928896083018164,False,True,False,False,False
0.05,0.9,0.05,0.10656128476102691,0.08502842550865806,0.09583916142960046,0.001943792398249003,True,True,False,False,False
