window,time,baseline,lambda,n_features,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_3,2435,exp016_static_strict_oof_proxy,0.05,20,0.13332229086727887,0.1347317257844499,0.0014094349171710208,0.9996794337972958
fold_3,2435,exp016_static_strict_oof_proxy,0.1,20,0.13332229086727887,0.13577619919090414,0.00245390832362527,0.9986513811156253
fold_3,2435,exp016_static_strict_oof_proxy,0.15,20,0.13332229086727887,0.13655202851544185,0.003229737648162978,0.9967664851540909
fold_3,2435,exp016_static_strict_oof_proxy,0.05,40,0.13332229086727887,0.13283705488795677,-0.00048523597932209617,0.9997291329206598
fold_3,2435,exp016_static_strict_oof_proxy,0.1,40,0.13332229086727887,0.1319224853394502,-0.0013998055278286736,0.9988420474166668
fold_3,2435,exp016_static_strict_oof_proxy,0.15,40,0.13332229086727887,0.131832979230374,-0.001489311636904883,0.9971963654427223
fold_3,2436,exp016_static_strict_oof_proxy,0.05,10,0.21420196149298107,0.2153871647831825,0.001185203290201442,0.9997138862287853
fold_3,2436,exp016_static_strict_oof_proxy,0.1,10,0.21420196149298107,0.21630567602059983,0.0021037145276187608,0.9988007719400013
fold_3,2436,exp016_static_strict_oof_proxy,0.15,10,0.21420196149298107,0.21743672012772336,0.0032347586347422908,0.9971756422655955
fold_3,2436,exp016_static_strict_oof_proxy,0.05,20,0.21420196149298107,0.2153587460214494,0.0011567845284683187,0.9996826608391655
fold_3,2436,exp016_static_strict_oof_proxy,0.1,20,0.21420196149298107,0.21626506476328486,0.00206310327030379,0.998628160587603
fold_3,2436,exp016_static_strict_oof_proxy,0.15,20,0.21420196149298107,0.21737007989599935,0.003168118403018283,0.9967597317007445
fold_3,2436,exp016_static_strict_oof_proxy,0.05,40,0.21420196149298107,0.21377426177773567,-0.0004276997152453943,0.9997352656948987
fold_3,2436,exp016_static_strict_oof_proxy,0.1,40,0.21420196149298107,0.21309573991148228,-0.0011062215814987841,0.9988694365631843
fold_3,2436,exp016_static_strict_oof_proxy,0.15,40,0.21420196149298107,0.21208236902764924,-0.002119592465331832,0.9972552479883868
fold_3,2437,exp016_static_strict_oof_proxy,0.05,10,0.2760432371615728,0.2766018397072196,0.0005586025456467691,0.9996995867487988
fold_3,2437,exp016_static_strict_oof_proxy,0.1,10,0.2760432371615728,0.27697320289893707,0.0009299657373642578,0.9987277378113997
fold_3,2437,exp016_static_strict_oof_proxy,0.15,10,0.2760432371615728,0.2772133051299357,0.0011700679683628867,0.9970700473415673
fold_3,2437,exp016_static_strict_oof_proxy,0.05,20,0.2760432371615728,0.2760248956673297,-1.83414942431237e-05,0.9996832252075615
fold_3,2437,exp016_static_strict_oof_proxy,0.1,20,0.2760432371615728,0.2758755198080089,-0.00016771735356391204,0.9986310438782111
fold_3,2437,exp016_static_strict_oof_proxy,0.15,20,0.2760432371615728,0.2757250368519907,-0.0003182003095821284,0.9967734559741233
fold_3,2437,exp016_static_strict_oof_proxy,0.05,40,0.2760432371615728,0.27457650269401906,-0.001466734467553743,0.9997420159474728
fold_3,2437,exp016_static_strict_oof_proxy,0.1,40,0.2760432371615728,0.27347989208296497,-0.002563345078607837,0.9988937441707955
fold_3,2437,exp016_static_strict_oof_proxy,0.15,40,0.2760432371615728,0.27205841984266266,-0.00398481731891015,0.9972891779591114
fold_3,2438,exp016_static_strict_oof_proxy,0.05,10,0.271428754213664,0.2700864220639796,-0.0013423321496844332,0.9997036715993008
