index,name,spec,fold2_ic,fold3_ic,pooled_ic,floor_pass
353,concept_11_cat1,"{""cat"": 1, ""col"": 11, ""kind"": ""concept""}",0.03609274898557192,0.03393293554776218,0.03501284226666705,True
354,concept_11_cat2,"{""cat"": 2, ""col"": 11, ""kind"": ""concept""}",0.035119301246119033,0.03383014026021054,0.03447472075316479,True
355,concept_11_cat3,"{""cat"": 3, ""col"": 11, ""kind"": ""concept""}",0.03577483675748517,0.03392668385781333,0.03485076030764925,True
356,concept_11_cat4,"{""cat"": 4, ""col"": 11, ""kind"": ""concept""}",0.03403024078591314,0.03294791858086872,0.03348907968339093,True
357,concept_11_cat5,"{""cat"": 5, ""col"": 11, ""kind"": ""concept""}",0.03609274898557192,0.03393293554776218,0.03501284226666705,True
358,concept_11_cat6,"{""cat"": 6, ""col"": 11, ""kind"": ""concept""}",0.030433076805794903,0.032987754007225235,0.03171041540651007,True
359,concept_11_cat7,"{""cat"": 7, ""col"": 11, ""kind"": ""concept""}",0.03584622882741726,0.034032804996236815,0.034939516911827034,True
360,concept_11_cat8,"{""cat"": 8, ""col"": 11, ""kind"": ""concept""}",0.03442464751194286,0.03309912586660669,0.033761886689274774,True
361,concept_5_cat0,"{""cat"": 0, ""col"": 5, ""kind"": ""concept""}",-0.047276757077111535,-0.02261733868678473,-0.034947047881948134,True
362,concept_5_cat1,"{""cat"": 1, ""col"": 5, ""kind"": ""concept""}",-0.047276757077111535,-0.02261733868678473,-0.034947047881948134,True
363,concept_5_cat2,"{""cat"": 2, ""col"": 5, ""kind"": ""concept""}",-0.04747127487549908,-0.022414818312732024,-0.034943046594115554,True
364,concept_5_cat3,"{""cat"": 3, ""col"": 5, ""kind"": ""concept""}",-0.04711204322049044,-0.022746538783713192,-0.03492929100210181,True
365,concept_5_cat4,"{""cat"": 4, ""col"": 5, ""kind"": ""concept""}",-0.04757305206397244,-0.022564350833953715,-0.03506870144896308,True
366,concept_5_cat5,"{""cat"": 5, ""col"": 5, ""kind"": ""concept""}",-0.047276757077111535,-0.02261733868678473,-0.034947047881948134,True
367,concept_5_cat6,"{""cat"": 6, ""col"": 5, ""kind"": ""concept""}",-0.04575813786647907,-0.023792376440705608,-0.03477525715359234,True
