window,time,variant,baseline_ic,candidate_ic,delta
fold_3,2765,final,0.22491192702529883,0.22006391444006548,-0.004848012585233347
fold_3,2766,final,0.06268196574653523,0.059568109874221016,-0.0031138558723142126
fold_3,2767,final,0.02163414352030808,0.012164606794797453,-0.009469536725510626
fold_3,2768,final,0.10018124274514853,0.10019423519127046,1.2992446121934398e-05
fold_3,2769,final,0.04885047909753452,0.04699547449006397,-0.0018550046074705465
fold_3,2770,final,0.09647511150788035,0.09664760734001171,0.00017249583213135855
fold_3,2771,final,0.143270014529302,0.1452661461553579,0.0019961316260559137
fold_3,2772,final,0.20137809671781162,0.1964221292069319,-0.004955967510879733
fold_3,2773,final,0.12514855717081708,0.12190832290984609,-0.0032402342609709894
fold_3,2774,final,0.14986860841418204,0.14754283360000556,-0.002325774814176479
fold_3,2775,final,0.14764152242986306,0.1442097546804436,-0.0034317677494194454
fold_3,2776,final,0.06301516152208027,0.06037263579693053,-0.0026425257251497386
fold_3,2777,final,-0.025012165428006456,-0.028118001125179207,-0.0031058356971727513
fold_3,2778,final,-0.02200733346208356,-0.025481714755603242,-0.003474381293519683
fold_3,2779,final,0.08047072743576167,0.07498561223154629,-0.0054851152042153795
fold_3,2780,final,0.042893585438378345,0.040818020863485155,-0.0020755645748931906
fold_3,2781,final,0.025772235314873576,0.027435405948821087,0.001663170633947511
fold_3,2782,final,-0.005259848019278289,-0.010691743258270409,-0.0054318952389921194
fold_3,2783,final,0.022160981978941206,0.019371179463531563,-0.002789802515409643
fold_3,2784,final,0.022016397128769228,0.02183919960407883,-0.00017719752469039923
fold_3,2785,final,-0.12283432644912279,-0.12953362189638037,-0.006699295447257586
fold_3,2786,final,-0.08971860086472634,-0.09519801011487511,-0.005479409250148767
fold_3,2787,final,0.0017366776822153515,-0.009830203192821184,-0.011566880875036534
fold_3,2788,final,0.13045388841685565,0.12504940580402,-0.005404482612835659
fold_3,2789,final,0.13067419636322394,0.13067765959422672,3.463231002781564e-06
fold_3,2790,final,0.08700160262754703,0.08385507682902402,-0.003146525798523009
fold_3,2791,final,0.11491359239907643,0.11667174065978889,0.0017581482607124527
fold_3,2792,final,-0.03647006683750937,-0.03268451166044836,0.0037855551770610077
fold_3,2793,final,-0.2080844184980577,-0.2057868537684124,0.0022975647296452906
fold_3,2794,final,-0.2573683344315474,-0.2502774271247836,0.007090907306763761
fold_3,2795,final,-0.25160968578166737,-0.24593855552708524,0.00567113025458213
fold_3,2796,final,0.031370396459070984,0.03488339856545382,0.0035130021063828343
fold_3,2797,final,0.25761041540942775,0.2601809628627783,0.002570547453350558
fold_3,2798,final,0.36779079566223616,0.3673847369306575,-0.00040605873157867345
fold_3,2799,final,0.4273008989670688,0.4276536305252527,0.000352731558183883
fold_3,2800,final,0.39123623288364845,0.38992315244690134,-0.001313080436747105
fold_3,2801,final,0.3376370479246385,0.3341357351691597,-0.003501312755478825
fold_3,2802,final,0.21045368621445965,0.20404864726298064,-0.0064050389514790085
fold_3,2803,final,0.12635285289260825,0.12642120355463535,6.835066202709461e-05
fold_3,2804,final,0.11270749151166216,0.11025590462171558,-0.0024515868899465804
fold_3,2805,final,0.10244720289322543,0.09273315573782258,-0.009714047155402847
fold_3,2806,final,0.10174698204867069,0.09909541635770705,-0.002651565690963642
fold_3,2807,final,0.11231508718096919,0.11097808731223817,-0.001336999868731023
fold_3,2808,final,0.06539681109551475,0.06342297896584842,-0.001973832129666328
fold_3,2809,final,0.051851206553491076,0.05098757526482603,-0.0008636312886650468
fold_3,2810,final,-0.02565375078712074,-0.030571190181256994,-0.004917439394136254
fold_3,2811,final,0.05181955881551692,0.046696445848211934,-0.005123112967304985
fold_3,2812,final,0.04077649897711823,0.037196426706081955,-0.0035800722710362734
fold_3,2813,final,0.049831070204142194,0.04782267149310603,-0.002008398711036162
fold_3,2814,final,0.1572432583820985,0.164547810008885,0.007304551626786504
fold_3,2815,final,0.2669919142379528,0.2663797691339267,-0.0006121451040261294
fold_3,2816,final,0.24620786869099112,0.24957151210924688,0.003363643418255763
fold_3,2817,final,0.30809131322736033,0.3156752773618854,0.007583964134525056
fold_3,2818,final,0.2994077483038335,0.30773974001343507,0.008331991709601583
fold_3,2819,final,0.22182682083578192,0.23010137632720457,0.008274555491422642
fold_3,2820,final,0.1510964270831101,0.15252111030586119,0.0014246832227510775
fold_3,2821,final,0.13813464396736835,0.1421414699147301,0.004006825947361736
fold_3,2822,final,0.12686894328237566,0.1254528536518987,-0.0014160896304769577
fold_3,2823,final,0.1669927234286419,0.16715182685918686,0.00015910343054495457
fold_3,2824,final,0.21183423554470132,0.21040337676302154,-0.0014308587816797835
fold_3,2825,final,0.24554242944367802,0.245659960064257,0.00011753062057898167
fold_3,2826,final,0.24674369410645874,0.252462466669992,0.005718772563533259
fold_3,2827,final,0.30273814165473517,0.3046987819114753,0.0019606402567401426
fold_3,2828,final,0.23120892101921844,0.2315667632013766,0.0003578421821581468
fold_3,2829,final,0.12338494742060373,0.12027598355221862,-0.003108963868385106
fold_3,2830,final,0.12188975906798592,0.11523611051976441,-0.006653648548221508
fold_3,2831,final,0.04619582349136091,0.036769263260629646,-0.009426560230731261
fold_3,2832,final,0.007041992080161948,-0.003215970429591644,-0.010257962509753592
fold_3,2833,final,-0.0686982137194848,-0.07678897620974003,-0.008090762490255227
fold_3,2834,final,0.043178343316454273,0.03690822768622997,-0.006270115630224303
fold_3,2835,final,0.11102671923103744,0.1131717245597457,0.0021450053287082604
fold_3,2836,final,0.18472702574223784,0.18278894731385095,-0.0019380784283868913
fold_3,2837,final,0.29068850693379544,0.29364573564484764,0.0029572287110521955
fold_3,2838,final,0.3655725813201727,0.37402283107978307,0.008450249759610395
fold_3,2839,final,0.28572700225531394,0.28050103184804287,-0.005225970407271074
fold_3,2840,final,0.16147450399431565,0.16075580272960388,-0.0007187012647117685
fold_3,2841,final,0.05150798871953384,0.0480588427503696,-0.0034491459691642426
fold_3,2842,final,-0.049814181339731804,-0.05014336477163008,-0.0003291834318982778
fold_3,2843,final,-0.09235554071363192,-0.09440969830937183,-0.0020541575957399166
fold_3,2844,final,-0.05318078267398617,-0.05066807125007016,0.0025127114239160073
fold_3,2845,final,0.04602851307869683,0.04571064102489527,-0.00031787205380155725
fold_3,2846,final,0.06115009209707789,0.0646859273490473,0.0035358352519694047
