window,time,baseline,method,alpha,history_w,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline,history_sections
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.11128109475496713,0.10974305071903567,-0.0015380440359314546,0.9942084061745077,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.11128109475496713,0.10813629989665337,-0.0031447948583137597,0.9857470703698037,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.05,40,0.11128109475496713,0.13806404509912593,0.0267829503441588,0.9986599307546892,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.1,40,0.11128109475496713,0.16730254479127055,0.05602145003630342,0.9940346042052617,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.15,40,0.11128109475496713,0.19916504324171633,0.0878839484867492,0.984939230737286,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.11128109475496713,0.11068866568755842,-0.000592429067408709,0.9986447117889973,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.11128109475496713,0.10985275893296068,-0.0014283358220064518,0.9941561334791201,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.15,40,0.11128109475496713,0.10848156343526225,-0.0027995313197048816,0.9856799646951886,5
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.05,10,0.045402505147181894,0.058202291961013744,0.01279978681383185,0.9987171512303334,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.1,10,0.045402505147181894,0.07180586316685439,0.026403358019672495,0.9941663148964528,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.15,10,0.045402505147181894,0.08639286850682083,0.04099036335963894,0.9852298282666153,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.045402505147181894,0.043089404749876596,-0.0023131003973052983,0.9986199993123206,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.045402505147181894,0.03997661714885553,-0.005425887998326363,0.9940749828525411,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.045402505147181894,0.0368671204701725,-0.008535384677009393,0.985417376451676,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.05,20,0.045402505147181894,0.058202291961013744,0.01279978681383185,0.9987171512303334,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.1,20,0.045402505147181894,0.07180586316685439,0.026403358019672495,0.9941663148964528,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.15,20,0.045402505147181894,0.08639286850682083,0.04099036335963894,0.9852298282666153,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.045402505147181894,0.044528336148753865,-0.0008741689984280293,0.9986223768403583,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.045402505147181894,0.04361631586613438,-0.0017861892810475122,0.9940633066042767,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.045402505147181894,0.0429872646996968,-0.0024152404474850966,0.9853812582479466,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.05,40,0.045402505147181894,0.058202291961013744,0.01279978681383185,0.9987171512303334,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.1,40,0.045402505147181894,0.07180586316685439,0.026403358019672495,0.9941663148964528,6
fold_1,1465,exp016_static_strict_oof_proxy,momentum,0.15,40,0.045402505147181894,0.08639286850682083,0.04099036335963894,0.9852298282666153,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.045402505147181894,0.04672399357181194,0.001321488424630049,0.9986360504127684,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.045402505147181894,0.04757487899410182,0.0021723738469199283,0.9941109663390705,6
fold_1,1465,exp016_static_strict_oof_proxy,shuffled,0.15,40,0.045402505147181894,0.047785989901503505,0.0023834847543216103,0.9857100529059525,6
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.05,10,0.20173704789785943,0.20031189086415763,-0.0014251570337018016,0.9988184520918523,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.1,10,0.20173704789785943,0.19853229260278013,-0.003204755295079298,0.9947850084030601,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.15,10,0.20173704789785943,0.19523038528331838,-0.006506662614541053,0.9864450570988396,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.20173704789785943,0.19919052672996007,-0.002546521167899357,0.9986178116044238,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.20173704789785943,0.19553757882898176,-0.006199469068877667,0.9941208902926152,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.20173704789785943,0.1925400003536923,-0.009197047544167142,0.9856702333771147,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.05,20,0.20173704789785943,0.20031189086415763,-0.0014251570337018016,0.9988184520918523,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.1,20,0.20173704789785943,0.19853229260278013,-0.003204755295079298,0.9947850084030601,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.15,20,0.20173704789785943,0.19523038528331838,-0.006506662614541053,0.9864450570988396,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.20173704789785943,0.20149456237009233,-0.00024248552776709453,0.9986389452501,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.20173704789785943,0.2003375044250412,-0.001399543472818232,0.9941290406035664,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.20173704789785943,0.19797639022814828,-0.0037606576697111482,0.9854152814887397,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.05,40,0.20173704789785943,0.20031189086415763,-0.0014251570337018016,0.9988184520918523,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.1,40,0.20173704789785943,0.19853229260278013,-0.003204755295079298,0.9947850084030601,7
fold_1,1466,exp016_static_strict_oof_proxy,momentum,0.15,40,0.20173704789785943,0.19523038528331838,-0.006506662614541053,0.9864450570988396,7
