test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h
3280,False,2.157292127609253,2502,3155,0.9975957972139581
3281,False,1.9856886863708496,2846,3155,0.9974596465047555
3282,False,1.503190279006958,2884,3160,0.997276199576806
3283,False,1.953474998474121,2823,3160,0.9974930325515485
3284,False,3.70527982711792,2520,3154,0.9981387913038108
3285,False,1.9600467681884766,2846,3158,0.9974439420980263
3286,False,1.804152488708496,2913,3160,0.9978345245618895
3287,False,1.7069569826126099,2924,3160,0.9976557535590767
3288,False,2.345547676086426,2830,3156,0.9976540424395617
3289,False,5.822718620300293,2217,3159,0.9976703774441397
3290,False,2.015444278717041,2924,3160,0.9976290067837043
3291,False,1.6857930421829224,2973,3160,0.9977550042726814
3292,False,1.8247712850570679,2995,3160,0.9975102480314473
3293,False,2.012118339538574,2831,3129,0.9978469025317319
3294,False,2.4069409370422363,2850,3157,0.9978612035445303
3295,False,2.162019729614258,2884,3160,0.9974677658511325
3296,False,1.6701444387435913,2955,3160,0.9978186433760177
3297,False,1.8385930061340332,2884,3160,0.9978343066488647
3298,False,1.6039656400680542,2846,3139,0.998024265244595
3299,False,2.514296531677246,2934,3156,0.9979119776139899
3300,False,6.5705156326293945,1287,3141,0.9982509558843208
3301,False,7.038885116577148,805,3152,0.9980633547700943
3302,False,2.8832051753997803,2811,3160,0.9981783189239544
3303,False,2.5376410484313965,2811,3157,0.9980664485726851
3304,False,3.2200608253479004,2924,3160,0.9980073567310908
3305,False,1.818471908569336,2973,3160,0.9977866148706325
3306,False,1.5425481796264648,2955,3160,0.998029647589611
3307,False,1.8508331775665283,2924,3160,0.9980020240010292
3308,False,1.467821478843689,2965,3160,0.9980270575501217
3309,False,2.865968704223633,2869,3160,0.9977112191757191
3310,False,1.7822480201721191,2953,3160,0.9979730663017576
3311,False,1.6553876399993896,2973,3158,0.9979670539729507
3312,False,1.7686243057250977,2965,3160,0.9981150649175924
3313,False,1.7287366390228271,3024,3157,0.9975195123003529
3314,False,3.911160945892334,2922,3156,0.9979490253758874
3315,False,1.7356846332550049,2924,3160,0.9977849988146277
3316,False,3.0975584983825684,2486,3155,0.9979073096038376
3317,False,2.617340087890625,2486,3155,0.9982084026577817
3318,False,2.0238566398620605,2924,3160,0.9975538107884471
3319,False,6.5767364501953125,2158,3156,0.9979291502701917
3320,False,3.762166976928711,2934,3160,0.9974351052239873
3321,False,3.259148120880127,2530,3155,0.9979783671585223
3322,False,2.27836275100708,2845,3160,0.9977284422345892
3323,False,2.0628833770751953,2884,3160,0.9976808574946455
3324,False,2.542916774749756,2934,3160,0.9972300918875632
3325,False,1.840400218963623,2687,3160,0.9975760089754787
3326,False,1.8800455331802368,2884,3160,0.9976946701582017
3327,False,2.4412832260131836,2850,3158,0.9977752411149164
3328,False,2.45107364654541,2790,3158,0.9976608249696476
3329,False,2.564789056777954,2850,3160,0.9975777982580285
3330,False,3.7374989986419678,2515,3158,0.9977743945537028
3331,False,3.0116167068481445,2468,3155,0.9975467417933181
3332,False,2.629444122314453,1247,3127,0.9971088474981467
3333,False,2.997969150543213,2810,3155,0.9975047703872495
3334,False,3.7501344680786133,2217,3160,0.9974949653285777
3335,False,3.685873031616211,2559,3158,0.9952507231274949
3336,False,2.596658706665039,2752,3160,0.9976799868108333
3337,False,3.191892623901367,1247,3123,0.997809440814437
3338,False,3.637270450592041,1245,3109,0.9948973484266467
3339,False,3.828326463699341,2845,3160,0.9976468558385787
3340,False,2.8937582969665527,2530,3155,0.997421606988573
3341,False,2.8673768043518066,2406,2958,0.9974385156944872
3342,False,2.564767360687256,2342,3127,0.9970851942509548
3343,False,3.2406842708587646,2810,3154,0.9972536150033587
3344,False,3.0890145301818848,1268,3127,0.9954074312611931
3345,False,4.153474807739258,1247,3123,0.9978292785888367
3346,False,2.369076728820801,2698,3159,0.9971055204627777
3347,False,2.8602592945098877,2454,3159,0.9974337101123094
3348,False,2.712965250015259,2754,3160,0.9972277155112764
3349,False,1.8937108516693115,2687,3158,0.9978391273970324
3350,False,1.7126920223236084,2870,3127,0.9979728248667422
3351,False,2.3107125759124756,2513,3127,0.9971736371505329
3352,False,1.9149316549301147,2846,3127,0.9980193118695866
3353,False,2.5992493629455566,2811,3142,0.997989245213327
3354,False,3.063020944595337,2810,3141,0.9978422251450906
3355,False,3.0088114738464355,2509,3159,0.9975171740039415
3356,False,2.1806883811950684,2845,3160,0.9978941911001853
3357,False,3.3549745082855225,2504,3155,0.998091343869668
3358,False,3.9771225452423096,2301,3156,0.9978246456171989
3359,False,2.556612968444824,2811,3160,0.9978911946777411
3360,False,2.0758309364318848,2782,3159,0.9977366707855626
3361,False,2.403146266937256,2927,3160,0.9982015937435079
3362,False,2.080137252807617,2521,3159,0.997643537726601
3363,False,1.934787631034851,2823,3160,0.9981535948003669
3364,False,2.689845323562622,2790,3158,0.9981272891562742
3365,False,1.6705513000488281,2860,3145,0.9982804450785371
3366,False,1.8811016082763672,2743,3145,0.9981265034885196
3367,False,4.280649185180664,2498,3157,0.9982607562614784
3368,False,2.0859274864196777,2874,3160,0.9979781457282695
3369,False,1.856110692024231,2875,3160,0.9981795161463004
