split,feature,feature_index,mean_rank_ic,std_rank_ic,positive_rate,abs_mean_rank_ic
train_sample,num_62,62,0.001201220092148643,0.0667789378923469,0.5125,
train_sample,num_63,63,0.014324143110766787,0.06814314505403056,0.625,
train_sample,num_64,64,-0.014144251196951022,0.07284387123583613,0.375,
train_sample,num_65,65,0.006566147452715089,0.07544021273855284,0.5375,
train_sample,num_66,66,-0.033438904666668934,0.12072840311135334,0.3625,
train_sample,num_67,67,0.016538361439840814,0.0896025767073188,0.575,
train_sample,num_68,68,-0.04522599865550002,0.14697450310239263,0.3625,
train_sample,num_69,69,-0.04053791088259525,0.13859043919808767,0.3625,
train_sample,num_70,70,0.011300901173419222,0.11453977621257869,0.5375,
train_sample,num_71,71,0.01794542557086034,0.10027410529552692,0.5875,
train_sample,num_72,72,-0.02805114599336277,0.10258533091128529,0.3875,
train_sample,num_73,73,-0.030197852329701735,0.10622276950715076,0.4,
train_sample,num_74,74,-0.03446569949023699,0.11354357103870982,0.4,
train_sample,num_75,75,-0.01867976068760115,0.08829490469260674,0.3875,
train_sample,num_76,76,-0.0227271712664373,0.10251737231867401,0.375,
train_sample,num_77,77,-0.004904313160976963,0.06445471104326067,0.4125,
train_sample,num_78,78,0.010026101971812687,0.045025449312304,0.6625,
train_sample,num_79,79,0.008737673843545578,0.0825902710077614,0.5875,
train_sample,num_80,80,-0.0013215625133645623,0.04937137687293454,0.55,
train_sample,num_81,81,-0.009398856215745507,0.05537466335284541,0.475,
train_sample,num_82,82,-0.018254652005569215,0.05072225369301949,0.375,
train_sample,num_83,83,-0.02272711523593534,0.06132924716865274,0.35,
train_sample,num_84,84,-0.021309362665322854,0.08491410830676742,0.4125,
train_sample,num_85,85,-0.024925136933942015,0.0531465677413402,0.275,
train_sample,num_86,86,-0.035469197368551406,0.0561490586991128,0.25,
train_sample,num_87,87,-0.03403777211196639,0.07112161774274187,0.2875,
train_sample,num_88,88,-0.005036423488016307,0.05981522551686365,0.4875,
train_sample,num_89,89,0.00319434346115841,0.05697569647258228,0.5,
train_sample,num_90,90,-0.05017733324593404,0.07804576706978061,0.25,
train_sample,num_91,91,-0.022789561178510043,0.05605559296348525,0.3625,
train_sample,num_92,92,-0.026215402675741,0.08253386029090885,0.4125,
train_sample,num_93,93,-0.023952584267224693,0.08364358836153991,0.3875,
train_sample,num_94,94,0.008741926645435404,0.08314885748087923,0.625,
train_sample,num_95,95,0.010258067588405025,0.08698580355213574,0.525,
train_sample,num_96,96,-0.023483190582547275,0.0879487342194887,0.4625,
train_sample,num_97,97,-0.024384188197938587,0.08381950684902095,0.4,
train_sample,num_98,98,-0.019184873553939014,0.09124224013879492,0.45,
valid,num_0,0,-0.008474726259139316,0.10647496970293023,0.49794238683127573,0.008474726259139316
valid,num_1,1,0.016355864176585508,0.04834327358342495,0.6666666666666666,0.016355864176585508
valid,num_2,2,-0.03262936931925172,0.0952899728049133,0.3868312757201646,0.03262936931925172
valid,num_3,3,0.038413925411994745,0.10830773691892705,0.6666666666666666,0.038413925411994745
valid,num_4,4,0.008112465878960145,0.09459646395732083,0.551440329218107,0.008112465878960145
valid,num_5,5,0.010182253266898289,0.11539842950203345,0.51440329218107,0.010182253266898289
valid,num_6,6,-0.04886937063655297,0.1912089759017059,0.45267489711934156,0.04886937063655297
valid,num_7,7,-0.04729372744556918,0.12850823829321872,0.3333333333333333,0.04729372744556918
valid,num_8,8,-0.08692177971706788,0.15024606595555037,0.2839506172839506,0.08692177971706788
valid,num_9,9,-0.04981118443037487,0.17839172547527055,0.3868312757201646,0.04981118443037487
valid,num_10,10,-0.03268383151092153,0.17259540865555406,0.411522633744856,0.03268383151092153
valid,num_11,11,-0.07781266086939878,0.12436124032700473,0.2674897119341564,0.07781266086939878
valid,num_12,12,-0.00784354973969652,0.0636631006300478,0.4609053497942387,0.00784354973969652
valid,num_13,13,0.0015317264194428968,0.05501557072293099,0.5349794238683128,0.0015317264194428968
valid,num_14,14,-0.007174394310809374,0.054817037960953205,0.48148148148148145,0.007174394310809374
valid,num_15,15,0.0009541707855970302,0.03602814170479846,0.5102880658436214,0.0009541707855970302
valid,num_16,16,0.010128011277022288,0.069445034660552,0.5267489711934157,0.010128011277022288
valid,num_17,17,,,,
valid,num_18,18,,,,
valid,num_19,19,,,,
valid,num_20,20,,,,
valid,num_21,21,,,,
valid,num_22,22,,,,
valid,num_23,23,,,,
valid,num_24,24,,,,
valid,num_25,25,,,,
valid,num_26,26,0.007590227230842319,0.13298235429938177,0.5390946502057613,0.007590227230842319
valid,num_27,27,0.004631658821411539,0.138009789655028,0.5102880658436214,0.004631658821411539
valid,num_28,28,0.004461030231135505,0.10056791457748523,0.48559670781893005,0.004461030231135505
valid,num_29,29,0.011292448040990223,0.10363318205068099,0.5390946502057613,0.011292448040990223
