fold,recent_rounds,recent_weight,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_3,8,0.1,0.0842664334366762,0.12769190781962683,0.08256288537349762,0.054725652830276354,0.25925925925925924,0.0004942043625243836,0.0006146998173229973
fold_3,8,0.15,0.08447080655532872,0.12817490949487612,0.08283258466155617,0.05488496805828897,0.25925925925925924,0.0006985774811769097,0.0008843991053815448
fold_3,8,0.2,0.08465157217159601,0.12860653236127242,0.08307305040218865,0.055036128135261576,0.25925925925925924,0.0008793430974441963,0.001124864846014026
fold_3,8,0.25,0.08481315239672726,0.12899510960625885,0.08329378429511515,0.05518055809529595,0.25925925925925924,0.0010409233225754516,0.0013455987389405233
fold_3,8,0.35,0.08507445062827924,0.1296415351251179,0.08364898992822387,0.055402426165115856,0.25925925925925924,0.0013022215541274307,0.0017008043720492388
fold_3,16,0.05,0.0840839716753512,0.1271001217668723,0.08229624758919976,0.05452704172317821,0.2551440329218107,0.0003117426011993857,0.0003480620330251344
fold_3,16,0.1,0.08435445142068117,0.12752666002238153,0.0825999424475388,0.05468572063078528,0.2551440329218107,0.0005822223465293541,0.0006517568913641664
fold_3,16,0.15,0.08460786557409192,0.12792809106240505,0.08288974681094011,0.05482767917622903,0.2551440329218107,0.0008356364999401039,0.00094156125476548
fold_3,16,0.2,0.08484599560934915,0.12828908266661404,0.08315961245224107,0.05495238816652963,0.2551440329218107,0.0010737665351973347,0.0012114268960664448
fold_3,16,0.25,0.08506900620216068,0.12860787079006417,0.08340197090355488,0.0550583717816999,0.2551440329218107,0.0012967771280088664,0.0014537853473802487
fold_3,16,0.35,0.08543528838341513,0.12911610215663277,0.08380809923715678,0.055242749282612726,0.25102880658436216,0.0016630593092633178,0.0018599136809821504
