feature,feature_index,train_mean_rank_ic,train_std_rank_ic,train_positive_rate,valid_mean_rank_ic,valid_std_rank_ic,valid_positive_rate,sign_agreement,valid_psi,test_psi,max_psi,valid_outlier_rate,test_outlier_rate,audit_action
num_63,63,0.014324143110766787,0.06814314505403056,0.625,-0.006515489862674898,0.069779253299096,0.5308641975308642,False,0.02590305819219548,0.0392516739555743,0.0392516739555743,0.015281207133058985,0.012722222222222222,downweight
num_89,89,0.00319434346115841,0.05697569647258228,0.5,-0.00998446649513121,0.047882016639748545,0.40329218106995884,False,0.016709638276286486,0.027745452535305234,0.027745452535305234,0.011810699588477367,0.01108888888888889,downweight
num_14,14,0.0031005603059361562,0.061272367196536746,0.575,-0.007174394310809374,0.054817037960953205,0.48148148148148145,False,0.0028989802474068504,0.0022950932830319844,0.0028989802474068504,0.024842249657064473,0.0182,downweight
num_48,48,-0.02659664916461451,0.06935408496956572,0.325,-0.027579430502683727,0.06221086212506116,0.2962962962962963,True,0.5947983648246512,1.182804247244399,1.182804247244399,0.12389574759945131,0.1618777777777778,rank_or_robust_transform
num_5,5,0.0015512419942691068,0.04448318075563645,0.4875,0.010182253266898289,0.11539842950203345,0.51440329218107,True,0.49745657060968573,0.6280916871541091,0.6280916871541091,0.3736488340192044,0.41625555555555555,rank_or_robust_transform
num_29,29,0.008893287846074339,0.08540059861606923,0.575,0.011292448040990223,0.10363318205068099,0.5390946502057613,True,0.6180662290043277,0.4005452931991969,0.6180662290043277,0.034910836762688614,0.0411,rank_or_robust_transform
num_76,76,-0.0227271712664373,0.10251737231867401,0.375,-0.055764914589971445,0.10142878663858075,0.2551440329218107,True,0.2740530540230438,0.41718275475102423,0.41718275475102423,0.1286008230452675,0.13463333333333333,rank_or_robust_transform
num_74,74,-0.03446569949023699,0.11354357103870982,0.4,-0.06380213755070278,0.1140144022049812,0.25925925925925924,True,0.28965106607300206,0.3515907657725444,0.3515907657725444,0.1147050754458162,0.08602222222222222,rank_or_robust_transform
num_83,83,-0.02272711523593534,0.06132924716865274,0.35,-0.008025572458911152,0.046306878251439,0.448559670781893,True,0.051684529040158106,0.1594271094052677,0.1594271094052677,0.06279835390946502,0.04395555555555555,stable_keep
num_33,33,-0.022053689550376343,0.05354228205688178,0.3,-0.007490059883100263,0.04239566176927169,0.448559670781893,True,0.049400837398326417,0.1326410536303097,0.1326410536303097,0.03688614540466392,0.025777777777777778,stable_keep
num_71,71,0.01794542557086034,0.10027410529552692,0.5875,0.051728214477863986,0.12903380458429167,0.6213991769547325,True,0.07099227560375383,0.11923694109584605,0.11923694109584605,0.05532235939643347,0.025655555555555556,stable_keep
num_32,32,-0.019335180842953645,0.06420519819470716,0.35,-0.006166815555365262,0.05584335486892218,0.4732510288065844,True,0.07095406390378237,0.11443683176144034,0.11443683176144034,0.03455418381344307,0.030322222222222223,stable_keep
num_94,94,0.008741926645435404,0.08314885748087923,0.625,0.005388201900043282,0.0913652013125082,0.5596707818930041,True,0.078414080078089,0.11348072257216472,0.11348072257216472,0.05278463648834019,0.056133333333333334,stable_keep
num_46,46,0.018447254658204036,0.04540784601243312,0.625,0.016409911219350846,0.05032513050625078,0.5925925925925926,True,0.042694324535303266,0.09999720358025983,0.09999720358025983,0.06576131687242798,0.08486666666666667,stable_keep
num_56,56,-0.018010504512728724,0.11107730407291593,0.4625,-0.04972501085941611,0.12726116417668046,0.3333333333333333,True,0.025976502940302165,0.09009591507422107,0.09009591507422107,0.03921810699588477,0.020422222222222224,stable_keep
num_95,95,0.010258067588405025,0.08698580355213574,0.525,0.01661712136608043,0.08908594170210972,0.5802469135802469,True,0.03877169674332537,0.08575984269312316,0.08575984269312316,0.07415637860082304,0.0840111111111111,stable_keep
num_77,77,-0.004904313160976963,0.06445471104326067,0.4125,-0.014870857073018974,0.07341948970017126,0.4156378600823045,True,0.022352839416523773,0.08486720501222456,0.08486720501222456,0.0354320987654321,0.026433333333333333,stable_keep
num_86,86,-0.035469197368551406,0.0561490586991128,0.25,-0.029945156189619748,0.06075264058023883,0.31275720164609055,True,0.08468402852267094,0.055013844079554106,0.08468402852267094,0.12714677640603567,0.12117777777777777,stable_keep
num_82,82,-0.018254652005569215,0.05072225369301949,0.375,-0.008155728799006896,0.03471877837050132,0.411522633744856,True,0.030153948239114624,0.0845821718093031,0.0845821718093031,0.07676268861454047,0.05644444444444444,stable_keep
num_31,31,-0.025518609624911703,0.0839763378429585,0.4,-0.005145779911082785,0.06311674126875677,0.46502057613168724,True,0.06425048495629401,0.07569580154690003,0.07569580154690003,0.03775034293552812,0.03651111111111111,stable_keep
num_68,68,-0.04522599865550002,0.14697450310239263,0.3625,-0.07584903940944251,0.1635517137528178,0.35390946502057613,True,0.03698586434002192,0.06916039580804992,0.06916039580804992,0.022496570644718793,0.006966666666666667,stable_keep
num_27,27,0.003823751613013486,0.10809963497536122,0.525,0.004631658821411539,0.138009789655028,0.5102880658436214,True,0.06640194376369918,0.06158976557468661,0.06640194376369918,0.030315500685871057,0.047933333333333335,stable_keep
num_55,55,-0.035994291374385576,0.06447756867650424,0.3125,-0.0053884029108869115,0.07131941030937554,0.4691358024691358,True,0.06502093967173088,0.06376114621859888,0.06502093967173088,0.14747599451303156,0.14147777777777779,stable_keep
num_93,93,-0.023952584267224693,0.08364358836153991,0.3875,-0.01035951553803162,0.08773671856929528,0.4691358024691358,True,0.060229507404790494,0.06319071409452602,0.06319071409452602,0.0,0.0,stable_keep
num_69,69,-0.04053791088259525,0.13859043919808767,0.3625,-0.07075261873119948,0.15747728056649934,0.36213991769547327,True,0.030813042858803145,0.06144766544993856,0.06144766544993856,0.005390946502057613,0.0033888888888888888,stable_keep
num_73,73,-0.030197852329701735,0.10622276950715076,0.4,-0.052466020670606045,0.11009880402434619,0.3374485596707819,True,0.057656703077959295,0.05607543561310775,0.057656703077959295,0.05319615912208505,0.03852222222222222,stable_keep
num_57,57,0.05805473698759618,0.05683327378588783,0.875,0.05242277363870715,0.05085068033719719,0.8559670781893004,True,0.0568611077071242,0.04075359769682929,0.0568611077071242,0.014348422496570645,0.0020444444444444447,stable_keep
num_67,67,0.016538361439840814,0.0896025767073188,0.575,0.04251667744436259,0.11088955797585892,0.6213991769547325,True,0.03507154908229288,0.05590524273320559,0.05590524273320559,0.051934156378600826,0.029055555555555557,stable_keep
num_40,40,-0.04454942233693111,0.06778415433854706,0.2,-0.027943703459641374,0.06080840380929465,0.3004115226337449,True,0.03502213644403415,0.0545650238417325,0.0545650238417325,0.005185185185185185,0.004477777777777778,stable_keep
num_39,39,-0.03589068753735621,0.09951051940144844,0.375,-0.051117776936484845,0.1003276680424652,0.27983539094650206,True,0.05420635833092019,0.00934655122420058,0.05420635833092019,0.07861454046639232,0.06227777777777778,stable_keep
num_88,88,-0.005036423488016307,0.05981522551686365,0.4875,-0.022665717272377,0.06594456231652694,0.40329218106995884,True,0.0359347634078661,0.04823517001262363,0.04823517001262363,0.017585733882030177,0.017477777777777776,stable_keep
num_92,92,-0.026215402675741,0.08253386029090885,0.4125,-0.00963512772099798,0.08675535022520518,0.48148148148148145,True,0.043362890776580704,0.04682310301379282,0.04682310301379282,0.0013305898491083677,0.0017333333333333333,stable_keep
num_41,41,-0.05181406801431722,0.13447158421684305,0.3375,-0.04116114630460328,0.12991660004904337,0.345679012345679,True,0.04674753946227883,0.03227405293201295,0.04674753946227883,0.16513031550068588,0.15136666666666668,stable_keep
num_60,60,0.016138391585171847,0.06169206052296902,0.625,0.028798661284088232,0.06605417468000636,0.654320987654321,True,0.011974830483826032,0.04627622792175421,0.04627622792175421,0.0813991769547325,0.1071,stable_keep
num_8,8,-0.061987341609616976,0.13493835958980574,0.325,-0.08692177971706788,0.15024606595555037,0.2839506172839506,True,0.035449517468540005,0.04567920847514322,0.04567920847514322,0.015294924554183813,0.007044444444444444,stable_keep
