key,config,features,feature_count,window,train_start,train_stop,train_rows,rounds,training_seconds,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,selection_score,param_profile,train_stock_cap,num_threads
base_cap1200__legacy_328_recent2188__r16,legacy_328_recent2188,legacy_328,328,2188,730,2918,2625600,16,40.23203682899475,0.08752919182189052,0.10122698838783295,0.08081977826933893,0.06424477281697158,0.17695473251028807,0.08085948395514125,base,1200.0,30.0
base_cap1200__legacy_328_recent2188__r8,legacy_328_recent2188,legacy_328,328,2188,730,2918,2625600,8,40.23203682899475,0.08758119451614516,0.10216407912738754,0.08243695615830136,0.06147604834925892,0.16872427983539096,0.08081689377541477,base,1200.0,30.0
base_cap1200__legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,8,31.317660093307495,0.08834759372892734,0.10894794609683331,0.0865480354549912,0.053356128707333965,0.18518518518518517,0.08080943324242783,base,1200.0,30.0
base_cap1200__legacy_328_recent1702__r32,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,32,31.317660093307495,0.08804764799504852,0.10624172971721013,0.084140981404661,0.057393950318021,0.18518518518518517,0.08074490848252677,base,1200.0,30.0
base_cap1200__legacy_328_recent2188__r32,legacy_328_recent2188,legacy_328,328,2188,730,2918,2625600,32,40.23203682899475,0.08591714149897095,0.09915767593848895,0.07720223531846371,0.06718557658775316,0.18930041152263374,0.07955635666257523,base,1200.0,30.0
base_cap1200__legacy_328_recent1945__r8,legacy_328_recent1945,legacy_328,328,1945,973,2918,2334000,8,36.48145651817322,0.08476534687717309,0.09750659871123175,0.07588289332404573,0.06814050826152285,0.1728395061728395,0.07877564308810484,base,1200.0,30.0
tuned_public_best__legacy_328_recent1702__r16,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,16,87.12301468849182,0.0862847614156079,0.1032921130511068,0.0860613074267635,0.0485756639964407,0.1851851851851851,0.0786759057351212,tuned_public_best,,
base_cap1200__legacy_328_recent1945__r16,legacy_328_recent1945,legacy_328,328,1945,973,2918,2334000,16,36.48145651817322,0.08401184033006129,0.09833579609936371,0.07493133565054912,0.06831272449429922,0.18106995884773663,0.07814786575905522,base,1200.0,30.0
base_cap1200__legacy_328_recent1945__r32,legacy_328_recent1945,legacy_328,328,1945,973,2918,2334000,32,36.48145651817322,0.0813334642918066,0.09766044565347065,0.07122715573491593,0.06890286908195278,0.19753086419753085,0.07581545268276864,base,1200.0,30.0
base_cap1200__legacy_328_recent1216__r8,legacy_328_recent1216,legacy_328,328,1216,1702,2918,1459200,8,23.69631338119507,0.07672001042619961,0.10231740221767553,0.07015314007281574,0.05948109884683101,0.1934156378600823,0.07130216700431072,base,1200.0,30.0
legacy_328_recent1216__r32,legacy_328_recent1216,legacy_328,328,1216,1702,2918,3836265,32,132.92366313934326,0.0770192467517852,0.1039378896170654,0.0684654365770384,0.0585406970969125,0.2098765432098765,0.0707573937683866,,,
legacy_328_recent730__r8,legacy_328_recent730,legacy_328,328,730,2188,2918,2518487,8,87.15343451499939,0.0762043641984997,0.1177682168733184,0.075366716752034,0.0498418472113803,0.2263374485596707,0.0706805665671361,,,
base_cap1200__legacy_328_recent1216__r16,legacy_328_recent1216,legacy_328,328,1216,1702,2918,1459200,16,23.69631338119507,0.07621031802529234,0.10498572053216228,0.06768288078242161,0.06094438815872699,0.205761316872428,0.07059890087911805,base,1200.0,30.0
legacy_328_recent730__r16,legacy_328_recent730,legacy_328,328,730,2188,2918,2518487,16,87.15343451499939,0.0761505434829626,0.1183727477275486,0.0743568330882128,0.051074156561878,0.2304526748971193,0.0705971529803208,,,
legacy_328_recent730__r32,legacy_328_recent730,legacy_328,328,730,2188,2918,2518487,32,87.15343451499939,0.0755328822539579,0.1194983587698838,0.0727668925638315,0.0520552166018695,0.2386831275720164,0.0700075522165023,,,
legacy_328_recent1216__r16,legacy_328_recent1216,legacy_328,328,1216,1702,2918,3836265,16,132.92366313934326,0.075897195482208,0.1021876630052503,0.0698093891113705,0.0555186114955092,0.2139917695473251,0.069995136773617,,,
base_cap1200__legacy_328_recent1216__r32,legacy_328_recent1216,legacy_328,328,1216,1702,2918,1459200,32,23.69631338119507,0.07541494070242402,0.10559948637166676,0.06507763674280684,0.05937827582535329,0.23045267489711935,0.06910641653912472,base,1200.0,30.0
legacy_328_recent1216__r8,legacy_328_recent1216,legacy_328,328,1216,1702,2918,3836265,8,132.92366313934326,0.0745093446112388,0.1017740415822721,0.0686889792686931,0.0542146670273868,0.2222222222222222,0.0687042994917047,,,
base_cap1200__legacy_328_recent730__r16,legacy_328_recent730,legacy_328,328,730,2188,2918,876000,16,14.163263082504272,0.07305070939816877,0.10797949075969543,0.06812540586341961,0.055163457014773196,0.24279835390946503,0.06799566786106491,base,1200.0,30.0
base_cap1200__legacy_328_recent730__r8,legacy_328_recent730,legacy_328,328,730,2188,2918,876000,8,14.163263082504272,0.0700876914106295,0.10378231403533388,0.06597197589651904,0.05190293924943925,0.25925925925925924,0.06521602632415831,base,1200.0,30.0
base_cap1200__legacy_328_recent730__r32,legacy_328_recent730,legacy_328,328,730,2188,2918,876000,32,14.163263082504272,0.07055185941269486,0.11018251512982466,0.06331783746276141,0.049039700687782406,0.2716049382716049,0.06407922108273234,base,1200.0,30.0
