fold,feature_set,strategy,expert_rounds,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_2,legacy,full,0,0.0971174118037759,0.12471629357117513,0.06827354260384416,0.06562882880555472,0.23045267489711935,0.0,0.0
fold_2,legacy,full,8,0.09678346138211331,0.126749086699433,0.06691865410031567,0.06261156718726055,0.22633744855967078,-0.0003339504216625794,-0.0013548885035284952
fold_2,legacy,full,16,0.09646749240332872,0.12814336039640378,0.06752291813090257,0.06374535355739804,0.2345679012345679,-0.0006499194004471742,-0.000750624472941594
fold_2,legacy,full,32,0.09872155060395697,0.12922240321807668,0.06950865575012065,0.06487256150616379,0.23045267489711935,0.0016041388001810791,0.001235113146276487
fold_2,legacy,decay_1200,8,0.09523874380069705,0.13332151548254575,0.06547466271166058,0.06243979747381831,0.23868312757201646,-0.0018786680030788427,-0.002798879892183581
fold_2,legacy,decay_1200,16,0.09574003636390238,0.13578075884385818,0.06639756361955008,0.06462511824409986,0.23868312757201646,-0.0013773754398735127,-0.0018759789842940772
fold_2,legacy,decay_1200,32,0.09757242091363386,0.13615167000134942,0.06808541583175393,0.06564210226788743,0.2345679012345679,0.0004550091098579623,-0.00018812677209023576
fold_2,enhanced,full,8,0.09766213279833981,0.12589266400141536,0.06579061477226084,0.06148489643894971,0.22633744855967078,0.0005447209945639159,-0.002482927831583326
fold_2,enhanced,full,16,0.09806756969635179,0.12839679129203313,0.06630399847556075,0.06101057621740839,0.22633744855967078,0.0009501578925758952,-0.0019695441282834153
fold_2,enhanced,full,32,0.10007581361147243,0.13062766097456635,0.06794844617095204,0.06278472770609415,0.2222222222222222,0.002958401807696534,-0.00032509643289212187
fold_2,enhanced,decay_1200,8,0.09540589982291801,0.12971013354255229,0.06627215916917695,0.06396209334184562,0.24691358024691357,-0.00171151198085788,-0.0020013834346672144
fold_2,enhanced,decay_1200,16,0.09504267655430397,0.13036663172950735,0.06566841265733848,0.0634749009542442,0.24279835390946503,-0.0020747352494719234,-0.002605129946505677
fold_2,enhanced,decay_1200,32,0.09781403828259076,0.13387765981017424,0.06788791295334205,0.06460707171207224,0.24691358024691357,0.0006966264788148685,-0.00038562965050210896
fold_3,legacy,full,0,0.08377222907415181,0.12661436009734173,0.08194818555617463,0.05433299470126351,0.25925925925925924,0.0,0.0
fold_3,legacy,full,8,0.08440556871299375,0.12833968018944533,0.08325890834613311,0.05552349248073692,0.25102880658436216,0.0006333396388419343,0.0013107227899584878
fold_3,legacy,full,16,0.08579419619375829,0.12763642940708197,0.08421257932284822,0.05554109981741537,0.24279835390946503,0.002021967119606477,0.002264393766673589
fold_3,legacy,full,32,0.08755658795475325,0.1275194528314362,0.08564459771518279,0.05650011864356403,0.22633744855967078,0.0037843588806014405,0.003696412159008164
fold_3,legacy,decay_1200,8,0.08640944110761675,0.12794317345218886,0.08408574001917941,0.05729760409246117,0.2551440329218107,0.002637212033464939,0.002137554463004787
fold_3,legacy,decay_1200,16,0.08819601348489968,0.1272358686416661,0.08540936847192329,0.059001302190729084,0.24279835390946503,0.004423784410747866,0.0034611829157486645
fold_3,legacy,decay_1200,32,0.09068128816536916,0.12555775078556577,0.08742248455743826,0.06035863221790029,0.2222222222222222,0.006909059091217348,0.00547429900126363
fold_3,enhanced,full,8,0.08493769358606164,0.12294723909855647,0.0837900058367324,0.05795323476910817,0.25102880658436216,0.001165464511909825,0.0018418202805577794
fold_3,enhanced,full,16,0.08617724839331926,0.12352740818388723,0.08449638922055998,0.05743620087525139,0.25102880658436216,0.0024050193191674507,0.002548203664385351
fold_3,enhanced,full,32,0.08919621948289069,0.12470580591586661,0.08765596246268875,0.059153932882638795,0.2222222222222222,0.00542399040873888,0.005707776906514125
fold_3,enhanced,decay_1200,8,0.08870886282309759,0.1201098698740533,0.08503356709478503,0.05959606150683144,0.2139917695473251,0.004936633748945776,0.0030853815386104044
fold_3,enhanced,decay_1200,16,0.08988911902889542,0.12147956388722628,0.08592773758388049,0.06033824289534853,0.2139917695473251,0.006116889954743604,0.003979552027705863
fold_3,enhanced,decay_1200,32,0.09370473995622317,0.12172293569895999,0.09045658349964712,0.06478385847651258,0.20164609053497942,0.009932510882071352,0.008508397943472495
