fold,expert_rounds,recent_weight,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_2,32,0.2,0.09812023306440774,0.12770200092469028,0.06885297503930317,0.06615266049369398,0.23045267489711935,0.0010028212606318504,0.0005794324354590069
fold_2,32,0.25,0.09829971583261873,0.12837324887339463,0.06894013292333985,0.06622158949801454,0.23045267489711935,0.00118230402884284,0.0006665903194956885
fold_2,32,0.3,0.09846834297249439,0.12902419594825998,0.06902702903447994,0.06627525605945908,0.23045267489711935,0.0013509311687184972,0.0007534864306357747
fold_2,32,0.35,0.09860622432135974,0.12963471570562046,0.06909050536128183,0.06631821050507825,0.23045267489711935,0.001488812517583843,0.0008169627574376725
fold_3,8,0.05,0.08430939272487817,0.12695839778338677,0.08242815978331106,0.054765808768953775,0.2551440329218107,0.000537163650726355,0.0004799742271364288
fold_3,8,0.1,0.08481021599408002,0.12723511728469242,0.08287964509866244,0.05516102112177692,0.2551440329218107,0.0010379869199282077,0.0009314595424878142
fold_3,8,0.15,0.08526509080685096,0.12745343952265267,0.08328574541048427,0.05552342958832996,0.2551440329218107,0.0014928617326991495,0.001337559854309639
fold_3,8,0.2,0.08569850582069971,0.12761885143489282,0.08366749954662339,0.05587914230476638,0.25102880658436216,0.0019262767465478975,0.0017193139904487648
fold_3,8,0.25,0.08610717998138341,0.12772193628852851,0.08401015575793021,0.05620908223208725,0.25102880658436216,0.0023349509072315977,0.0020619702017555808
fold_3,8,0.3,0.08648045989774673,0.12775183999658415,0.08432523242180524,0.05654133574356644,0.24691358024691357,0.0027082308235949204,0.0023770468656306165
fold_3,8,0.35,0.08683898961832807,0.12769793467877225,0.08461212339556085,0.056869307784574594,0.24691358024691357,0.0030667605441762613,0.0026639378393862184
fold_3,16,0.05,0.08433824450124709,0.12692805424420636,0.08243521866018833,0.054791692480071916,0.2551440329218107,0.0005660154270952789,0.00048703310401369826
fold_3,16,0.1,0.08486085150526156,0.12718139017565372,0.08288619818207024,0.055207261565828426,0.2551440329218107,0.0010886224311097425,0.0009380126258956151
fold_3,16,0.15,0.08535855861565919,0.12738432946231837,0.08331799534501383,0.05561124806688171,0.25102880658436216,0.001586329541507378,0.001369809788839202
fold_3,16,0.2,0.08583481942044462,0.12754280563758674,0.0837113431428671,0.05598598268850636,0.25102880658436216,0.002062590346292803,0.0017631575866924737
fold_3,16,0.25,0.08627746734452434,0.1276446968864181,0.08406488304629842,0.056340744184397926,0.24279835390946503,0.002505238270372523,0.0021166974901237895
fold_3,16,0.3,0.08670074393822756,0.12768309566678449,0.08439784551977739,0.056692539133596,0.23868312757201646,0.0029285148640757486,0.00244965996360276
