test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3194,False,3.318181037902832,2811,3160,0.9981956354431271,0.9996309237522866
3195,False,3.9214773178100586,2623,3156,0.9980884239539227,0.999781194412635
3196,False,2.1977343559265137,3029,3160,0.9979144726830855,0.9998506966925105
3197,False,1.9788336753845215,3000,3160,0.9981111470133563,0.9996446053769685
3198,False,2.1154494285583496,3013,3158,0.9979596176437315,0.9997611440500682
3199,False,2.1690220832824707,2846,3158,0.9981681112877485,0.9996025805696409
3200,False,2.5578322410583496,2914,3158,0.997838872369531,0.9997791012623664
3201,False,3.6928372383117676,2486,3155,0.9981947390287959,0.9996937833929
3202,False,4.752105236053467,1165,3098,0.998234437151562,0.999380541271352
3203,False,4.859444618225098,2498,3152,0.998129702166328,0.9997330873408887
3204,False,4.221865653991699,1245,3127,0.9981722101435382,0.9994965100798684
3205,False,3.2808837890625,2507,3155,0.9977829789944405,0.9996659318885139
3206,False,5.110134124755859,1245,3098,0.9982789527149375,0.9995045860908504
3207,False,5.613628387451172,1636,3117,0.9982347290513435,0.9996143679038397
3208,False,3.75943922996521,2474,3160,0.998244066338612,0.9996764247693191
3209,False,2.7426602840423584,2957,3160,0.9981933141180418,0.9996470729078047
3210,False,2.8373398780822754,2467,3160,0.9979431777808225,0.999767625556747
3211,False,2.8516788482666016,3048,3157,0.9981501877526606,0.9997366954871443
3212,False,2.0476555824279785,3029,3160,0.9982519917022247,0.9998512200439258
3213,False,2.332742929458618,2846,3158,0.9977666826573625,0.9990351580091904
3214,False,2.7058963775634766,2398,3160,0.9981050669937261,0.9996685136239447
3215,False,3.205019474029541,2520,3156,0.9980726916012227,0.9996956059152029
3216,False,2.618076801300049,2497,3155,0.9980668511325004,0.9997274169376575
3217,False,2.6461119651794434,3027,3160,0.998079603032198,0.9995241712963973
3218,False,2.073038101196289,3027,3160,0.9978132276328845,0.9998852467905311
3219,False,2.2605793476104736,3000,3158,0.9977588568719736,0.9995966948112446
3220,False,3.3921303749084473,2928,3160,0.9977789514332399,0.9997488003428082
3221,False,2.8248186111450195,2528,3155,0.9979199799566498,0.9993481472550959
3222,False,2.447061061859131,2846,3158,0.9982692833648819,0.9996065177173694
3223,False,3.5237367153167725,2520,3155,0.9979558563084943,0.9996754700574405
3224,False,3.2680232524871826,2695,3151,0.9979521948343175,0.9996714128475147
3225,False,3.1131014823913574,2933,3156,0.9978112420372532,0.999551316701295
3226,False,2.5233988761901855,2811,3160,0.998215632532755,0.9997953330538305
3227,False,2.848707914352417,2923,3155,0.9981845785400598,0.999488522443681
3228,False,4.821221351623535,2242,3156,0.9979027849432276,0.9995002586667764
3229,False,2.416415214538574,3029,3160,0.9977734617701628,0.9997042931137903
3230,False,2.4595117568969727,2497,3133,0.9976248792005359,0.9995067673681274
3231,False,3.615009307861328,1247,3155,0.9979419611547564,0.9997450026703142
3232,False,3.7009572982788086,2507,3114,0.9980483435217822,0.9995367067687166
3233,False,5.851007461547852,1091,3098,0.9979067776062402,0.9995362006058358
3234,False,5.456981182098389,1245,3054,0.9976823273880597,0.9995556079107447
3235,False,6.358724117279053,1245,2959,0.9978359586429124,0.9993362062874453
3236,False,4.248250961303711,2476,3102,0.9975401451648424,0.9996508095699057
3237,False,5.034931182861328,1440,3152,0.9976303235945934,0.99946099735702
3238,False,4.786518573760986,2301,3156,0.9977422670882091,0.9996994558782871
3239,False,4.704378604888916,2303,3136,0.9978443438589341,0.999715721286066
3240,False,4.494794845581055,2701,3160,0.9977049792329679,0.999712414281423
3241,False,3.959523916244507,2303,3159,0.9978229930272455,0.9996860240462121
3242,False,3.6431727409362793,2478,3160,0.9978396913848341,0.9996235977447648
3243,False,3.3882646560668945,2513,3160,0.9983140929062669,0.9997917410292694
3244,False,2.753054141998291,2811,3157,0.9980945088565192,0.9997655805666851
3245,False,2.8058815002441406,3029,3160,0.9979585866167693,0.9995697690204293
3246,False,2.467536687850952,3024,3158,0.9980525895188591,0.9994612895008268
3247,False,2.2540600299835205,2931,3160,0.9979143223866492,0.9995616047717769
3248,False,3.4064722061157227,2403,3145,0.9973279943996322,0.9995790405135658
3249,False,2.270094871520996,3015,3160,0.9977997011433166,0.9998069374764011
3250,False,1.8608784675598145,3009,3160,0.9978756704088338,0.999765772006574
3251,False,3.518336057662964,2485,3155,0.9973339384116341,0.9995951943725097
3252,False,2.804892063140869,2924,3160,0.9981012343648288,0.9995818210784654
3253,False,2.4261388778686523,3027,3160,0.998047845330224,0.9994520167733087
3254,False,2.5699989795684814,2811,3160,0.998025516060688,0.9998019102221339
3255,False,2.0777857303619385,3027,3160,0.9979024427273128,0.999869800394591
3256,False,2.6693637371063232,3027,3160,0.9977614850569563,0.9995715088463903
3257,False,2.432612419128418,2811,3160,0.9973277163674447,0.9997293831630207
3258,False,2.1645045280456543,2963,3160,0.9976641035674673,0.9996822756727995
3259,False,2.349252939224243,2918,3160,0.9973398320534936,0.9995616609741954
3260,False,2.2788610458374023,2920,3158,0.997791945629706,0.9998089874759274
3261,False,3.015787124633789,2468,3155,0.997651518159289,0.9993390198319798
3262,False,2.8954975605010986,2528,3155,0.9973721593350319,0.9993090693387777
3263,False,3.433588981628418,2754,3160,0.9976233765264844,0.9994902141832377
3264,False,2.344743251800537,2963,3160,0.99761704834495,0.9998009021956626
3265,False,3.7045602798461914,2497,3155,0.9976222090156197,0.9995905550435487
3266,False,2.200269937515259,3029,3160,0.9974311229697094,0.9998952284900734
3267,False,2.4455740451812744,2698,3160,0.9977839885441808,0.999840252460864
3268,False,2.744049310684204,2528,3158,0.9978275762435049,0.9997270714126294
3269,False,2.1274943351745605,2997,3160,0.9976422261194724,0.9998147731159359
3270,False,2.336703300476074,2846,3158,0.9976654016723552,0.9997672164998976
3271,False,2.369901657104492,2528,3158,0.9978393713092202,0.9994674463892748
3272,False,2.544583797454834,3027,3160,0.9979225497495308,0.9998440097113995
3273,False,2.39453125,2826,3160,0.9978285084414289,0.9997950130948982
3274,False,1.973307490348816,3029,3160,0.9976622018890379,0.9997724434873385
3275,False,2.1376752853393555,3027,3160,0.9976343448602769,0.999746451953735
3276,False,2.6798081398010254,2838,3155,0.9976180916804664,0.9997194910310786
3277,False,2.6436033248901367,2924,3160,0.9977261545482725,0.9997654048697007
3278,False,1.7594314813613892,3027,3160,0.997794179825615,0.9996821831672712
3279,False,2.8511173725128174,2934,3156,0.9977613293073682,0.9998587327391494
3280,False,2.6337039470672607,2502,3155,0.9978025541657208,0.9996465367458606
3281,False,2.2863073348999023,2846,3158,0.99781119253089,0.9992806072817567
3282,False,1.7566795349121094,3009,3160,0.9977398230890459,0.9996622714534534
3283,False,1.9720571041107178,3015,3160,0.9978853720507627,0.9996385369755184
3284,False,3.466176986694336,2623,3156,0.9980973302973019,0.9998234180449631
3285,False,2.217090129852295,2846,3158,0.9976548661227151,0.9995971715237152
3286,False,2.2074947357177734,2984,3160,0.9979427057305783,0.9997128495208317
3287,False,2.149116039276123,3027,3160,0.9978759903656454,0.9996361317279047
3288,False,2.6506564617156982,2933,3158,0.9978731617292825,0.9998054862097171
3289,False,5.9452033042907715,2701,3159,0.9977546989441362,0.9996645390819334
3290,False,1.9408960342407227,2997,3160,0.9979288828690016,0.9997774185732805
3291,False,1.8061647415161133,3009,3160,0.9979571958136275,0.9996962220579507
3292,False,1.7754273414611816,3015,3160,0.9978280508714249,0.9997433603178838
3293,False,2.4751954078674316,2502,3155,0.9978412366475489,0.9993505166659447
3294,False,2.2988944053649902,3037,3158,0.9979371953586885,0.9997534259428134
3295,False,2.290351390838623,2904,3160,0.9978859771403865,0.9993730046894932
3296,False,1.7911080121994019,2979,3160,0.9978793961333323,0.9996769486834008
3297,False,2.091047525405884,3003,3160,0.9980311540576217,0.999771929880521
3298,False,2.003350019454956,3016,3160,0.9980599648185949,0.9998990488884391
3299,False,2.54952335357666,2934,3156,0.9981443925579239,0.9998182751072843
3300,False,6.681611061096191,1448,3141,0.998137919602555,0.9994753502648852
3301,False,6.808382987976074,805,3152,0.9980709199048273,0.9996160559044618
3302,False,3.1243765354156494,2811,3160,0.9982648726297846,0.9997836631224629
3303,False,2.568678855895996,2811,3160,0.9980981587750617,0.9997358779758335
3304,False,3.3431379795074463,2928,3160,0.998149811080101,0.9997558394814378
3305,False,1.8360977172851562,3015,3160,0.9979687644801107,0.9997821600749438
3306,False,1.722150206565857,3027,3160,0.998124181452179,0.9997760099006363
3307,False,2.012643575668335,3009,3160,0.9980625968524772,0.9996886232127469
3308,False,1.6552735567092896,3015,3160,0.9980854315659905,0.9998319625398882
3309,False,2.8346009254455566,2994,3158,0.9980653562659686,0.9997519580839598
3310,False,2.027688503265381,3009,3160,0.9981040553088523,0.9996766925405289
3311,False,1.747124195098877,3015,3160,0.9980812926648365,0.9998136360077489
3312,False,1.747209072113037,3015,3160,0.9981422552259334,0.999830412460289
3313,False,1.833601713180542,3041,3157,0.9978628971287018,0.9995779531526837
3314,False,3.949676990509033,2922,3156,0.9980621708548619,0.9998698759634567
3315,False,1.7788803577423096,2997,3160,0.9979818069634802,0.9996715163869406
3316,False,3.435122013092041,2486,3155,0.997891725589448,0.9997651987160251
3317,False,2.743046283721924,2486,3155,0.9981682290018327,0.9997682719761981
3318,False,2.147313356399536,2997,3160,0.9977599370740035,0.9997250452952944
3319,False,6.6390509605407715,2211,3156,0.9979416295925049,0.9995924187888849
3320,False,3.6767358779907227,2934,3157,0.9977454210072745,0.9996844130937944
3321,False,3.3976972103118896,2530,3155,0.9979328315570276,0.9996028640512283
3322,False,2.4235284328460693,2845,3160,0.9977034338642625,0.9994833118384873
3323,False,2.2877655029296875,2961,3160,0.9977366218719707,0.9993153212579295
3324,False,2.506453514099121,2997,3160,0.9975699682268739,0.9995978505917036
3325,False,2.043562889099121,2884,3160,0.9975863663421685,0.9993878447951379
3326,False,1.8783674240112305,2979,3160,0.9978632126243739,0.9995267394513505
3327,False,2.3689823150634766,2979,3158,0.9977844100382998,0.999558303932771
3328,False,2.54742431640625,2790,3158,0.9977980160279625,0.9995014713115609
3329,False,2.718946933746338,2850,3157,0.9977116424833163,0.9995325938519881
3330,False,3.899606943130493,2337,3136,0.9977334572822064,0.9994501628396647
